Actual_Total_LUTs,Pred_Total_LUTs
8726,7065.31
1010,1055.782821982522
112,93.83754195830349
69,54.6230289743578
3407,3622.6488888888885
350,439.6502350387231
2692,2735.2384722222223
11,23.951956114288297
24,66.14921230166891
12,24.296913881620767
4,12.004580608070862
310,243.8655952431572
19,24.076030796855314
7,12.578536053701974
262,204.15833583631363
35,59.26361275861351
298,395.1621723111524
11,15.474298202613523
39,42.56302635333523
4,11.999163273576924
43,43.564520435286504
16,17.601255445596912
12348,11324.21
1010,1055.782821982522
112,93.83754195830349
75,82.89520130069931
4657,3666.4295833333335
740,724.4671487367297
4223,4244.131666666667
557,737.8177185841149
12,23.97241414701579
14,33.3090174260982
5,13.708273915990864
310,243.8655952431572
20,24.076030796855314
7,12.578536053701974
258,204.33646083631365
36,38.97022964641053
149,228.2339931309235
23,24.728425368960092
83,87.66332735493108
7,12.578536053701974
43,43.564520435286504
18,25.931494865249704
39293,16234.253333333334
975,1015.0094469864314
112,93.83754195830349
99,92.81843985532801
27281,11252.916666666666
3078,3383.0445555555552
6172,6133.906666666667
489,500.96930115138434
12,23.97241414701579
43,46.821409074759664
7,14.651014690100777
310,243.8655952431572
19,24.076030796855314
7,12.578536053701974
258,204.33646083631365
36,38.97022964641053
77,84.39782483679492
83,87.66332735493108
165,233.72668543664346
11,15.474298202613523
44,43.564520435286504
26,27.9795727956507
9279,10376.326666666666
973,1013.4923279388124
815,838.8629386145451
718,712.7228075561543
722,719.3890222167659
112,93.83754195830349
89,90.1883115200552
72,54.603316559967276
71,54.38713002422771
54,49.69079858727644
1919,2082.063611111111
819,887.0224136800664
305,295.0928037101584
421,429.0015050358225
275,271.67059341006586
320,437.3570412454799
12,23.97241414701579
23,65.39787381697455
5,13.708273915990864
7,14.651014690100777
4,12.004580608070862
4,12.004580608070862
310,243.8655952431572
20,24.076030796855314
166,149.98140395854767
26,20.95467173479158
47,44.4586825623355
43,43.564520435286504
43,43.564520435286504
26,20.95467173479158
38,35.03089010218526
7,12.56462545023998
64,51.476397249924474
5,12.056239057303108
257,204.33646083631365
11,15.474298202613523
7,12.578536053701974
36,38.97022964641053
299,395.1621723111524
8,12.738508769885886
39,36.13095150463888
12,15.52992222629703
74,57.43439311006289
20,24.076030796855314
13327,14183.28
976,1015.2407062456906
976,1015.2407062456906
759,739.9238258527
752,737.979527490931
112,93.83754195830349
105,93.05420862497016
74,80.92021103916575
71,54.85224911618402
66,57.40558201353228
3800,3190.063583333333
1486,1100.4959374428252
485,479.67181955198794
678,704.9421335258271
277,285.55209375344856
558,744.2822229584874
483,500.9626344847177
12,23.97241414701579
11,23.951956114288297
10,15.398671336542954
5,13.708273915990864
5,13.708273915990864
310,243.8655952431572
20,24.076030796855314
8,14.663249266100017
32,25.49149070298395
62,51.46973058325781
43,43.564520435286504
43,43.564520435286504
30,24.664757157612932
47,41.46781015431417
7,12.578536053701974
93,68.38140422411863
8,12.738508769885886
258,204.33646083631365
15,16.756885036582982
7,12.578536053701974
37,41.48119559737992
149,228.2339931309235
55,50.11201877471757
20,24.076030796855314
123,120.43877690183707
36,38.97022964641053
242,208.0361215731971
