Repo,NodeName,dataType (bits),inFIFODepths (dimensions flattened),inWidth,outFIFODepths (dimensions flattened),outWidth,shape (dimensions flattened),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,4,2,16,58,32,5184,0.0207,0.0207,0.0,0,0.0479,0.0,0.0,0.0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,4,2,8,32,4,512,0.0188,0.0188,0.0,0,0.0188,0.0,0.0,0.0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,4,569,4,576,8,1152,0.0094,0.0094,0.0,0,0.0141,0.0,0.0,0.0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_4,4,2,4,142,8,576,0.0094,0.0094,0.0,0,0.0141,0.0,0.0,0.0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,8,870,72,9216,0.0226,0.0226,0.0,0,0.0808,0.0,0.0,0.0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,4,2,4,682,16,9216,0.0113,0.0113,0.0,0,0.0226,0.0,0.0,0.0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,4,2,4,178,8,1152,0.0094,0.0094,0.0,0,0.0141,0.0,0.0,0.0
t2w4_500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,4,2,4,178,8,1152,0.0094,0.0094,0.0,0,0.0141,0.0,0.0,0.0
t2w8_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,8,870,72,9216,0.0226,0.0226,0.0,0,0.0808,0.0,0.0,0.0
t2w8_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,8,2,8,682,32,9216,0.015,0.015,0.0,0,0.0414,0.0,0.0,0.0
t2w8_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,8,2,8,178,16,1152,0.0132,0.0132,0.0,0,0.0254,0.0,0.0,0.0
t2w8_500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,8,178,16,1152,0.0132,0.0132,0.0,0,0.0254,0.0,0.0,0.0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,21995,8,8100,24,24300,0.0169,0.0169,0.0,0,0.0338,0.0,0.0,0.0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,1,2,1,12580,32,451584,0.0188,0.0188,0.0,0,0.0376,0.0,0.0,0.0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,1,2,1,2,64,50176,0.0188,0.0188,0.0,0,0.0686,0.0,0.0,0.0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,1,32,64,512,1,12544,0.0827,0.0827,0.0,0,0.0705,0.0,0.0,0.0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_4,1,2,1,1294,12,82944,0.015,0.015,0.0,0,0.0179,0.0,0.0,0.0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_5,1,2,1,1725,16,115200,0.015,0.015,0.0,0,0.0216,0.0,0.0,0.0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_6,1,2,1,2,128,12800,0.0226,0.0226,0.0,0,0.1297,0.0,0.0,0.0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_7,1,32,128,2,1,3200,0.1466,0.1466,0.0,0,0.1316,0.0,0.0,0.0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_8,1,2,1,1918,3,10368,0.015,0.015,0.0,0,0.0075,0.0,0.0,0.0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_9,1,2,1,136,3,2304,0.0132,0.0132,0.0,0,0.0075,0.0,0.0,0.0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,8,2,216,24300,0.0376,0.0376,0.0,0,0.2312,0.0,0.0,0.0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,1,2,4,1128,16,57600,0.0132,0.0132,0.0,0,0.0385,0.0,0.0,0.0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,1,2,16,2,64,50176,0.0357,0.0357,0.0,0,0.093,0.0,0.0,0.0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,1,32,64,128,4,12544,0.0752,0.0752,0.0,0,0.0742,0.0,0.0,0.0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_4,1,2,4,32,72,82944,0.0188,0.0188,0.0,0,0.078,0.0,0.0,0.0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_5,1,2,8,382,72,115200,0.0244,0.0244,0.0,0,0.0808,0.0,0.0,0.0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_6,1,2,8,2,128,12800,0.0263,0.0263,0.0,0,0.14,0.0,0.0,0.0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_7,1,32,128,2,1,3200,0.1466,0.1466,0.0,0,0.1316,0.0,0.0,0.0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_8,1,2,1,55,96,10368,0.0207,0.0207,0.0,0,0.0771,0.0,0.0,0.0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_9,1,2,1,766,3,2304,0.0188,0.0188,0.0,0,0.0075,0.0,0.0,0.0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_10,1,2,1,2,8,256,0.0132,0.0132,0.0,0,0.0075,0.0,0.0,0.0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_11,1,2,1,2,16,512,0.0132,0.0132,0.0,0,0.0132,0.0,0.0,0.0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,8,2,216,24300,0.0376,0.0376,0.0,0,0.2312,0.0,0.0,0.0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,1,2,4,2,32,57600,0.0132,0.0132,0.0,0,0.0385,0.0,0.0,0.0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,1,2,32,2,64,50176,0.0357,0.0357,0.0,0,0.093,0.0,0.0,0.0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,1,32,64,304,4,12544,0.0752,0.0752,0.0,0,0.0742,0.0,0.0,0.0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_4,1,2,4,32,72,82944,0.0188,0.0188,0.0,0,0.078,0.0,0.0,0.0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_5,1,2,8,32,72,115200,0.0244,0.0244,0.0,0,0.0808,0.0,0.0,0.0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_6,1,2,16,2,128,12800,0.0263,0.0263,0.0,0,0.14,0.0,0.0,0.0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_7,1,32,128,2,1,3200,0.1466,0.1466,0.0,0,0.1316,0.0,0.0,0.0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_8,1,2,1,63,72,10368,0.0207,0.0207,0.0,0,0.0771,0.0,0.0,0.0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_9,1,2,2,2,1,2304,0.0188,0.0188,0.0,0,0.0075,0.0,0.0,0.0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_10,1,2,1,766,3,2304,0.0132,0.0132,0.0,0,0.0075,0.0,0.0,0.0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_11,1,2,1,2,8,256,0.0132,0.0132,0.0,0,0.0132,0.0,0.0,0.0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_12,1,2,1,2,16,512,0.015,0.015,0.0,0,0.0216,0.0,0.0,0.0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,24,783,216,24300,0.0376,0.0376,0.0,0,0.2312,0.0,0.0,0.0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,1,2,4,86,32,57600,0.0132,0.0132,0.0,0,0.0385,0.0,0.0,0.0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,1,2,32,2,64,50176,0.0357,0.0357,0.0,0,0.093,0.0,0.0,0.0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,1,32,64,2048,4,12544,0.0752,0.0752,0.0,0,0.0742,0.0,0.0,0.0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_4,1,2,4,32,72,82944,0.0188,0.0188,0.0,0,0.078,0.0,0.0,0.0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_5,1,2,8,32,72,115200,0.0244,0.0244,0.0,0,0.0808,0.0,0.0,0.0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_6,1,2,16,2,128,12800,0.0263,0.0263,0.0,0,0.14,0.0,0.0,0.0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_7,1,32,128,2,1,3200,0.1466,0.1466,0.0,0,0.1316,0.0,0.0,0.0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_8,1,2,1,63,72,10368,0.0207,0.0207,0.0,0,0.0771,0.0,0.0,0.0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_9,1,2,2,2,1,2304,0.0188,0.0188,0.0,0,0.0075,0.0,0.0,0.0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_10,1,2,1,766,3,2304,0.0132,0.0132,0.0,0,0.0075,0.0,0.0,0.0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_11,1,2,1,2,8,256,0.0132,0.0132,0.0,0,0.0132,0.0,0.0,0.0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_12,1,2,1,2,16,512,0.015,0.015,0.0,0,0.0216,0.0,0.0,0.0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,24,783,216,24300,0.0376,0.0376,0.0,0,0.2312,0.0,0.0,0.0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,1,2,4,86,32,57600,0.0132,0.0132,0.0,0,0.0385,0.0,0.0,0.0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,1,2,32,2,64,50176,0.0357,0.0357,0.0,0,0.093,0.0,0.0,0.0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,1,32,64,64,8,12544,0.0752,0.0752,0.0,0,0.0742,0.0,0.0,0.0
