Repo,NodeName,MH,MW,PE,SIMD,accDataType (bits),binaryXnorMode,inputDataType (bits),numInputVectors (dimensions flattened),outputDataType (bits),weightDataType (bits),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t2w2_500fps_u,MVAU_hls_3,8,144,1,1,9,0,2,4,2,2,1.2444,1.2444,0.0,0,0.4474,0.0,0.3571,0.0
t2w2_500fps_u,MVAU_hls_4,6,32,1,1,7,0,2,1,7,2,0.5188,0.5188,0.0,0,0.219,0.0,0.3571,0.0
t2w4_50000fps_u,MVAU_hls_0,16,36,4,18,14,0,8,256,4,3,7.1429,7.1429,0.0,0,3.5094,2.1429,0.0,0.0
t2w4_50000fps_u,MVAU_hls_1,8,144,2,18,12,0,4,64,4,3,2.7932,2.7932,0.0,0,1.9981,1.4286,0.0,0.0
t2w4_50000fps_u,MVAU_hls_2,16,72,1,2,11,0,4,16,4,3,0.9117,0.9117,0.0,0,0.5141,0.0,0.3571,0.0
t2w4_50000fps_u,MVAU_hls_3,8,144,1,2,11,0,4,4,4,3,1.2744,1.2744,0.0,0,0.7829,0.0,0.3571,0.0
t2w4_50000fps_u,MVAU_hls_4,6,32,1,1,11,0,4,1,11,4,0.5207,0.5207,0.0,0,0.3139,0.0,0.3571,0.0
t2w4_5000fps_u,MVAU_hls_0,16,36,1,9,14,0,8,256,4,3,1.8026,1.8026,0.0,0,1.0874,0.0,0.3571,0.0
t2w4_5000fps_u,MVAU_hls_1,8,144,1,4,12,0,4,64,4,3,1.1598,1.1598,0.0,0,0.891,0.0,0.3571,0.0
t2w4_5000fps_u,MVAU_hls_2,16,72,1,2,11,0,4,16,4,3,0.9154,0.9154,0.0,0,0.5141,0.0,0.3571,0.0
t2w4_5000fps_u,MVAU_hls_3,8,144,1,1,11,0,4,4,4,3,1.4737,1.4737,0.0,0,0.7575,0.0,0.3571,0.0
t2w4_5000fps_u,MVAU_hls_4,6,32,1,1,11,0,4,1,11,4,0.5207,0.5207,0.0,0,0.3139,0.0,0.3571,0.0
t2w4_500fps_u,MVAU_hls_0,16,36,1,1,14,0,8,256,4,3,0.9305,0.9305,0.0,0,0.516,0.0,0.3571,0.0
t2w4_500fps_u,MVAU_hls_1,8,144,1,1,12,0,4,64,4,3,1.3609,1.3609,0.0,0,0.7632,0.0,0.3571,0.0
t2w4_500fps_u,MVAU_hls_2,16,72,1,2,11,0,4,16,4,3,0.9117,0.9117,0.0,0,0.5141,0.0,0.3571,0.0
t2w4_500fps_u,MVAU_hls_3,8,144,1,1,11,0,4,4,4,3,1.4774,1.4774,0.0,0,0.7575,0.0,0.3571,0.0
t2w4_500fps_u,MVAU_hls_4,6,32,1,1,11,0,4,1,11,4,0.5207,0.5207,0.0,0,0.3139,0.0,0.3571,0.0
t2w4_501fps_u,MVAU_hls_0,16,36,1,1,14,0,8,256,4,3,4.9154,4.9154,0.0,0,3.6842,2.1429,0.0,0.0
t2w4_501fps_u,MVAU_hls_1,8,144,1,1,12,0,4,64,4,3,13.4004,13.4004,0.0,0,7.5893,22.8571,0.0,0.0
t2w4_501fps_u,MVAU_hls_2,16,72,1,1,11,0,4,16,4,3,3.8853,3.8853,0.0,0,2.6316,5.7143,0.0,0.0
t2w4_501fps_u,MVAU_hls_3,8,144,1,1,11,0,4,4,4,3,7.2951,7.2951,0.0,0,5.0357,11.4286,0.0,0.0
t2w4_501fps_u,MVAU_hls_4,6,32,1,1,11,0,4,1,11,4,2.1335,2.1335,0.0,0,1.8008,5.7143,0.7143,0.0
t2w8_5000fps_u,MVAU_hls_0,16,36,1,9,18,0,8,256,8,7,6.1147,6.1147,0.0,0,1.2829,0.7143,0.0,3.6364
t2w8_5000fps_u,MVAU_hls_1,8,144,1,4,20,0,8,64,8,8,6.5714,6.5714,0.0,0,1.781,0.0,0.3571,1.8182
t2w8_5000fps_u,MVAU_hls_2,16,72,1,2,19,0,8,16,8,8,6.1128,6.1128,0.0,0,1.1438,0.0,0.3571,0.9091
t2w8_5000fps_u,MVAU_hls_3,8,144,1,1,19,0,8,4,8,7,6.7406,6.7406,0.0,0,1.6344,0.0,0.3571,0.4545
t2w8_5000fps_u,MVAU_hls_4,6,32,1,1,18,0,8,1,18,7,0.5695,0.5695,0.0,0,0.4323,0.0,0.3571,0.4545
t2w8_500fps_u,MVAU_hls_0,16,36,1,1,18,0,8,256,8,7,5.5771,5.5771,0.0,0,0.8111,0.0,0.3571,0.4545
t2w8_500fps_u,MVAU_hls_1,8,144,1,1,20,0,8,64,8,8,6.7425,6.7425,0.0,0,1.641,0.0,0.3571,0.4545
t2w8_500fps_u,MVAU_hls_2,16,72,1,2,19,0,8,16,8,8,6.1429,6.1429,0.0,0,1.1438,0.0,0.3571,0.9091
t2w8_500fps_u,MVAU_hls_3,8,144,1,1,19,0,8,4,8,7,6.6429,6.6429,0.0,0,1.6344,0.0,0.3571,0.4545
t2w8_500fps_u,MVAU_hls_4,6,32,1,1,18,0,8,1,18,7,0.5714,0.5714,0.0,0,0.4323,0.0,0.3571,0.4545
t4w1a1_100fps_u,MVAU_hls_0,64,27,1,3,13,0,8,900,1,2,0.7143,0.7143,0.0,0,0.5573,0.0,0.3571,0.0
t4w1a1_100fps_u,MVAU_hls_1,64,576,1,32,10,1,1,784,1,1,0.9756,0.9756,0.0,0,0.9126,1.4286,0.0,0.0
t4w1a1_100fps_u,MVAU_hls_2,128,576,1,12,10,1,1,144,1,1,0.8383,0.8383,0.0,0,0.7622,2.1429,0.3571,0.0
