Actual_Total LUTs,Pred_Total LUTs
0.6579,0.5604926357763573
7.9192,7.1856975056704435
6.141,5.1177445090904845
5.4774,5.338715895512376
0.7914,0.6758616125310728
0.7274,0.7199648647774899
1.2575,0.6748697156538056
1.3609,1.4006169560011472
13.4004,8.978093038724705
7.295100000000001,5.512148941206392
6.1128,5.689120902672539
0.7143,3.3732949445603446
1.2481,3.2634335925362667
3.7368,2.8721471650306762
0.8008,0.9469605852367879
1.8402000000000003,1.552510047161717
7.295100000000001,7.421740559707393
13.4004,13.836989161193147
2.1335,2.5185362345097557
6.1767,6.125644357415721
1.8402000000000003,1.552510047161717
4.9154,5.238607690207072
4.9154,5.238607690207072
6.1767,6.125644357415721
13.4004,9.262814735478068
7.295100000000001,5.335749609077041
1.8402000000000003,1.552510047161717
7.295100000000001,7.421740559707393
1.8402000000000003,1.5525100471617184
