Repo,NodeName,OpType,Partition,dataType,inFIFODepths,inWidth,outFIFODepths,outWidth,shape,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_5,StreamingDataWidthConverter_rtl,partition_2,b'UINT2',[2],2,[142],4,"[1, 2, 2, 144]",4,4,0,0,9,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'UINT8',[2],8,[870],72,"[1, 16, 16, 36]",12,12,0,0,86,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,partition_2,b'UINT2',[2],2,[682],8,"[1, 8, 8, 144]",5,5,0,0,14,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,partition_2,b'UINT2',[2],2,[178],4,"[1, 4, 4, 72]",4,4,0,0,9,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'UINT2',[2],2,[178],4,"[1, 4, 4, 72]",4,4,0,0,9,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'UINT8',[2],16,[146],32,"[1, 34, 34, 4]",12,12,0,0,51,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,partition_2,b'UINT4',[2],16,[58],32,"[1, 18, 18, 16]",11,11,0,0,51,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,partition_2,b'UINT4',[2],8,[32],4,"[1, 8, 8, 8]",10,10,0,0,20,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,StreamingDataWidthConverter_rtl,partition_2,b'UINT4',[569],4,[576],8,"[1, 4, 4, 72]",5,5,0,0,15,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_4,StreamingDataWidthConverter_rtl,partition_2,b'UINT4',[2],4,[142],8,"[1, 2, 2, 144]",5,5,0,0,15,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'UINT8',[2],8,[870],72,"[1, 16, 16, 36]",12,12,0,0,86,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,partition_2,b'UINT4',[2],4,[682],16,"[1, 8, 8, 144]",6,6,0,0,24,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,partition_2,b'UINT4',[2],4,[178],8,"[1, 4, 4, 72]",5,5,0,0,15,0,0,0
t2w4_500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'UINT4',[2],4,[178],8,"[1, 4, 4, 72]",5,5,0,0,15,0,0,0
t2w8_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'UINT8',[2],8,[870],72,"[1, 16, 16, 36]",12,12,0,0,86,0,0,0
t2w8_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,partition_2,b'UINT8',[2],8,[682],32,"[1, 8, 8, 144]",8,8,0,0,44,0,0,0
t2w8_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,partition_2,b'UINT8',[2],8,[178],16,"[1, 4, 4, 72]",7,7,0,0,27,0,0,0
t2w8_500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'UINT8',[2],8,[178],16,"[1, 4, 4, 72]",7,7,0,0,27,0,0,0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'INT8',[21995],8,[8100],24,"[1, 30, 30, 27]",9,9,0,0,36,0,0,0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[12580],32,"[1, 28, 28, 576]",10,10,0,0,40,0,0,0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[2],64,"[1, 28, 28, 64]",10,10,0,0,73,0,0,0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[32],64,[512],1,"[1, 14, 14, 64]",44,44,0,0,75,0,0,0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_4,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[1294],12,"[1, 12, 12, 576]",8,8,0,0,19,0,0,0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_5,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[1725],16,"[1, 10, 10, 1152]",8,8,0,0,23,0,0,0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_6,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[2],128,"[1, 10, 10, 128]",12,12,0,0,138,0,0,0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_7,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[32],128,[2],1,"[1, 5, 5, 128]",78,78,0,0,140,0,0,0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_8,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[1918],3,"[1, 3, 3, 1152]",8,8,0,0,8,0,0,0
t4w1a1_100fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_9,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[136],3,"[1, 1, 1, 2304]",7,7,0,0,8,0,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'INT8',[2],8,[2],216,"[1, 30, 30, 27]",20,20,0,0,246,0,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],4,[1128],16,"[1, 30, 30, 64]",7,7,0,0,41,0,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],16,[2],64,"[1, 28, 28, 64]",19,19,0,0,99,0,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[32],64,[128],4,"[1, 14, 14, 64]",40,40,0,0,79,0,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_4,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],4,[32],72,"[1, 12, 12, 576]",10,10,0,0,83,0,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_5,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],8,[382],72,"[1, 10, 10, 1152]",13,13,0,0,86,0,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_6,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],8,[2],128,"[1, 10, 10, 128]",14,14,0,0,149,0,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_7,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[32],128,[2],1,"[1, 5, 5, 128]",78,78,0,0,140,0,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_8,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[55],96,"[1, 3, 3, 1152]",11,11,0,0,82,0,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_9,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[766],3,"[1, 1, 1, 2304]",10,10,0,0,8,0,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_10,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[2],8,"[1, 1, 1, 256]",7,7,0,0,8,0,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_11,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[2],16,"[1, 512]",7,7,0,0,14,0,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'INT8',[2],8,[2],216,"[1, 30, 30, 27]",20,20,0,0,246,0,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],4,[2],32,"[1, 30, 30, 64]",7,7,0,0,41,0,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],32,[2],64,"[1, 28, 28, 64]",19,19,0,0,99,0,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[32],64,[304],4,"[1, 14, 14, 64]",40,40,0,0,79,0,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_4,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],4,[32],72,"[1, 12, 12, 576]",10,10,0,0,83,0,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_5,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],8,[32],72,"[1, 10, 10, 1152]",13,13,0,0,86,0,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_6,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],16,[2],128,"[1, 10, 10, 128]",14,14,0,0,149,0,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_7,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[32],128,[2],1,"[1, 5, 5, 128]",78,78,0,0,140,0,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_8,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[63],72,"[1, 3, 3, 1152]",11,11,0,0,82,0,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_9,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],2,[2],1,"[1, 3, 3, 256]",10,10,0,0,8,0,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_10,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[766],3,"[1, 1, 1, 2304]",7,7,0,0,8,0,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_11,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[2],8,"[1, 1, 1, 256]",7,7,0,0,14,0,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_12,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[2],16,"[1, 512]",8,8,0,0,23,0,0,0
