Hardware config,Submodule Instance,isRTL,ConvKernelDim,Dilation,K,Labels,PE,Padding,Stride,accDataType (bits),inputDataType (bits),numInputVectors,outputDataType (bits),weightDataType (bits),Total LUT,Total FFs,DSP Blocks
t2w2_run26_40_modify_folding_naive_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,14,32,0
t2w2_run12_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,8,27,0
t2w2_run12_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,18,311,0
t2w2_run12_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,5,9,0
t2w2_run12_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,8,33,0
t2w2_run12_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,7,12,0
t2w4_run12_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,8,27,0
t2w4_run12_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,18,311,0
t2w4_run12_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,6,15,0
t2w4_run12_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,10,61,0
t2w4_run12_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,8,20,0
t2w2_run26_80_modify_folding_naive_BOTH,StreamingDataWidthConverter_hls_0,0,,,,,,,,,,,,,538,1396,0
t2w2_run26_80_modify_folding_naive_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,8,27,0
t2w2_run26_80_modify_folding_naive_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,12,51,0
t2w2_run26_80_modify_folding_naive_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,8,33,0
t2w2_run26_80_modify_folding_naive_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,6,15,0
t2w2_run26_80_modify_folding_naive_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,14,32,0
t2w4_run26_20_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,12,51,0
t2w4_run26_20_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,26,326,0
t2w4_run26_20_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,10,20,0
t2w4_run26_20_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,12,83,0
t2w4_run26_20_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,10,20,0
t2w4_run26_20_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_5,1,,,,,,,,,,,,,8,20,0
t2w8_run24_80_modify_folding_BOTH,StreamingDataWidthConverter_hls_0,0,,,,,,,,,,,,,1163,2836,0
t2w8_run24_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,12,51,0
t2w8_run24_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,20,99,0
t2w8_run24_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,10,77,0
t2w8_run24_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,8,27,0
t2w2_run26_80_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,8,27,0
t2w2_run26_80_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,18,166,0
t2w2_run26_80_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,11,12,0
t2w2_run26_80_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,11,45,0
t2w2_run26_80_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,11,12,0
t2w2_run26_80_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_5,1,,,,,,,,,,,,,7,12,0
t2w8_run26_20_modify_folding_naive_BOTH,StreamingDataWidthConverter_hls_0,0,,,,,,,,,,,,,1867,5275,0
t2w8_run26_20_modify_folding_naive_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,20,99,0
t2w8_run26_20_modify_folding_naive_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,36,195,0
t2w8_run26_20_modify_folding_naive_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,14,117,0
t2w8_run26_20_modify_folding_naive_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,12,51,0
t2w8_run26_20_modify_folding_naive_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,24,76,0
t2w4_run26_80_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,12,51,0
t2w4_run26_80_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,26,326,0
t2w4_run26_80_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,10,20,0
t2w4_run26_80_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,12,83,0
t2w4_run26_80_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,10,20,0
t2w4_run26_80_modify_folding_greedy_BOTH,StreamingDataWidthConverter_rtl_5,1,,,,,,,,,,,,,8,20,0
t2w8_run23_80_modify_folding_BOTH,StreamingDataWidthConverter_hls_0,0,,,,,,,,,,,,,1163,2836,0
t2w8_run23_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,12,51,0
t2w8_run23_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,12,51,0
t2w8_run23_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,20,99,0
t2w8_run23_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,10,77,0
t2w8_run23_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,8,27,0
t2w4_run22_80_modify_folding_BOTH,StreamingDataWidthConverter_hls_0,0,,,,,,,,,,,,,677,1471,0
t2w4_run22_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,12,51,0
t2w4_run22_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,26,326,0
t2w4_run22_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,8,27,0
t2w4_run22_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,12,51,0
t2w4_run22_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,8,41,0
t2w4_run22_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_5,1,,,,,,,,,,,,,6,15,0
t2w4_run7_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,12,110,0
t2w4_run7_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,8,33,0
t2w4_run7_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,6,15,0
t2w4_run12_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,8,27,0
t2w4_run12_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,18,311,0
t2w4_run12_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,6,15,0
t2w4_run12_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,10,61,0
t2w4_run12_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,8,20,0
t2w4_run6_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,13,86,0
t2w4_run6_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,8,33,0
t2w4_run6_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,6,15,0
t2w8_run8_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,14,159,0
t2w8_run8_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,10,77,0
t2w8_run8_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,8,27,0
t2w8_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,8,27,0
t2w8_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,18,311,0
t2w8_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,8,27,0
t2w8_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,12,51,0
t2w8_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,21,164,0
t2w8_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_5,1,,,,,,,,,,,,,9,44,0
t2w4_run19_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,12,51,0
