Actual_Total LUTs,Pred_Total LUTs
0.6579,0.8912829666666668
7.9192,8.634038050000004
6.141,5.376998000000006
5.4774,5.008733666666668
0.7914,1.085695616666667
0.7274,0.9670945166666668
1.2575,1.0920299166666667
1.3609,1.3824317619047612
13.4004,11.792900616666667
7.295100000000001,7.676896007936504
6.1128,5.781235499999999
0.7143,0.8398831666666666
1.2481,2.442662666666668
3.7368,2.604473066666669
0.8008,0.8011749999999997
1.8402000000000003,1.8342356666666646
7.295100000000001,7.223972999999996
13.4004,13.345775999999999
2.1335,2.133500000000003
6.1767,6.176348495729274
1.8402000000000003,1.8342356666666646
4.9154,4.924102999999989
4.9154,4.924102999999989
6.1767,6.176348495729274
13.4004,12.939006866666666
7.295100000000001,7.020735619047617
1.8402000000000003,1.8342356666666646
7.295100000000001,7.223972999999996
1.8402000000000003,1.8342356666666646
