Hardware config,Submodule Instance,isRTL,isHLS,ActVal,ConvKernelDim,Dilation,IFMChannels,IFMDim,ImgDim,K,Labels,MH,MW,NumChannels,OFMDim,PE,Padding,SIMD,Stride,accDataType,backend,binaryXnorMode,cycles_estimate,depthwise,inputDataType,is1D,mem_mode,noActivation,numInputVectors,op_type,outputDataType,parallel_window,ram_style,resType,runtime_writeable_weights,weightDataType,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
t1w4_run6_20_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT14,,,,[1],LabelSelect_hls,UINT8,,,,,,73,70,0.0,0
t1w4_run1_20_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT14,,,,[1],LabelSelect_hls,UINT8,,,,,,73,70,0.0,0
t1w2_run8_10_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT12,,,,[1],LabelSelect_hls,UINT8,,,,,,67,64,0.0,0
t1w2_run15_40_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT12,,,,[1],LabelSelect_hls,UINT8,,,,,,67,64,0.0,0
t1w2_run3_10_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT12,,,,[1],LabelSelect_hls,UINT8,,,,,,67,64,0.0,0
t1w2_run6_10_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT12,,,,[1],LabelSelect_hls,UINT8,,,,,,67,64,0.0,0
t1w2_run5_10_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT12,,,,[1],LabelSelect_hls,UINT8,,,,,,67,64,0.0,0
t1w2_run17_80_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT12,,,,[1],LabelSelect_hls,UINT8,,,,,,67,64,0.0,0
t1w4_run21_20_modify_folding_greedy_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT14,,,,[1],LabelSelect_hls,UINT8,,,,,,73,70,0.0,0
t1w4_run5_20_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT14,,,,[1],LabelSelect_hls,UINT8,,,,,,73,70,0.0,0
t1w2_run16_80_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT12,,,,[1],LabelSelect_hls,UINT8,,,,,,67,64,0.0,0
