ConvKernelDim,Dilation,K,Labels,Padding,Stride,inWidth,numInputVectors,PE,isRam_styleAuto,resType,isImpl_styleRtl,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks,depth
,,,,,,,,,1,,1,121,29,0.0,0,219.0
,,,,,,2.0,,,1,,1,112,29,0.0,0,188.0
,,,,,,,,,1,,0,724,115,0.0,0,2.0
,,,,,,,,,1,,0,411,99,0.0,0,2.0
,,,,,,2.0,,,1,,1,105,29,0.0,0,148.0
,,,,,,,,,1,,0,85,27,0.0,0,2.0
,,,,,,,,,1,,1,82,27,0.0,0,69.0
,,,,,,,,,1,,1,85,33,0.0,0,62.0
,,,,,,,,,1,,0,950,149,0.0,0,2.0
,,,,,,,,,1,,0,539,131,0.0,0,2.0
,,,,,,2.0,,,1,,1,125,29,0.0,0,198.0
,,,,,,,,,1,,1,62,25,0.0,0,51.0
,,,,,,,,,1,,1,119,35,0.0,0,75.0
,,,,,,,,,1,,1,84,27,0.0,0,93.0
,,,,,,,,,1,,1,151,295,0.0,0,2.0
,,,,,,2.0,,,1,,1,106,29,0.0,0,157.0
,,,,,,,,,1,,0,121,29,0.0,0,2.0
,,,,,,,,,1,,1,116,35,0.0,0,82.0
,,,,,,,,,1,,1,170,37,0.0,0,185.0
,,,,,,8.0,,,1,,1,23,38,0.0,0,2.0
,,,,,,,,,1,,0,1398,213,0.0,0,2.0
,,,,,,,,,1,,0,1138,173,0.0,0,2.0
,,,,,,,,,1,,0,199,38,0.0,0,2.0
,,,,,,,,,1,,0,84,33,0.0,0,2.0
,,,,,,,,,1,,1,62,25,0.0,0,45.0
,,,,,,2.0,,,1,,1,122,29,0.0,0,206.0
,,,,,,,,,1,,1,165,43,0.0,0,104.0
,,,,,,,,,1,,1,62,25,0.0,0,61.0
,,,,,,2.0,,,1,,1,120,29,0.0,0,216.0
,,,,,,,,,1,,1,301,588,0.0,0,2.0
,,,,,,,,,1,,0,113,29,0.0,0,2.0
,,,,,,,,,1,,1,54,25,0.0,0,33.0
,,,,,,,,,1,,0,276,51,0.0,0,2.0
,,,,,,,,,1,,0,109,41,0.0,0,2.0
,,,,,,2.0,,,1,,1,123,29,0.0,0,230.0
,,,,,,,,,1,,1,83,27,0.0,0,78.0
,,,,,,,,,1,,1,123,29,0.0,0,232.0
,,,,,,,,,1,,1,132,49,0.0,0,40.0
,,,,,,,,,1,,1,132,49,0.0,0,62.0
,,,,,,8.0,,,1,,1,39,70,0.0,0,2.0
,,,,,,,,,1,,1,628,322,0.0,0,32.0
,,,,,,,,,1,,0,171,37,0.0,0,2.0
,,,,,,,,,1,,1,272,53,0.0,0,155.0
,,,,,,,,,1,,1,191,51,0.0,0,94.0
,,,,,,,,,1,,1,2711,375,0.0,0,219.0
,,,,,,,,,1,,1,106,29,0.0,0,146.0
,,,,,,,,,1,,1,155,57,0.0,0,50.0
,,,,,,,,,1,,1,85,27,0.0,0,102.0
,,,,,,,,,1,,1,86,27,0.0,0,107.0
,,,,,,2.0,,,1,,1,122,29,0.0,0,213.0
,,,,,,,,,1,,1,391,76,0.0,0,159.0
,,,,,,,,,1,,1,83,27,0.0,0,114.0
,,,,,,,,,1,,1,79,150,0.0,0,2.0
,,,,,,,,,1,,1,61,25,0.0,0,38.0
,,,,,,,,,1,,1,84,27,0.0,0,116.0
,,,,,,,,,1,,1,178,88,0.0,0,32.0
,,,,,,8.0,,,1,,1,628,322,0.0,0,32.0
,,,,,,,,,1,,1,341,58,0.0,0,217.0
,,,,,,,,,1,,1,86,33,0.0,0,43.0
,,,,,,8.0,,,1,,1,2742,404,0.0,0,236.0
,,,,,,,,,1,,1,82,27,0.0,0,70.0
,,,,,,,,,1,,1,82,40,0.0,0,32.0
,,,,,,,,,1,,1,83,27,0.0,0,75.0
,,,,,,2.0,,,1,,1,113,29,0.0,0,185.0
,,,,,,,,,1,,1,485,121,0.0,0,79.0
,,,,,,2.0,,,1,,1,60,25,0.0,0,54.0
,,,,,,,,,1,,1,47,86,0.0,0,2.0
,,,,,,,,,1,,1,62,25,0.0,0,55.0
,,,,,,,,,1,,1,114,56,0.0,0,32.0
,,,,,,,,,1,,1,118,35,0.0,0,81.0
,,,,,,,,,1,,1,61,25,0.0,0,57.0
,,,,,,,,,1,,1,323,161,0.0,0,32.0
,,,,,,2.0,,,1,,1,59,25,0.0,0,50.0
,,,,,,2.0,,,1,,1,83,27,0.0,0,66.0
,,,,,,,,,1,,0,416,100,0.0,0,2.0
