OriginalFile,original_columns,removed_constant,removed_high_corr,removed_missing,categorical_encoded,final_columns
exhaustive_LabelSelect_area_attrs,46,23,2,0,2,19
exhaustive_StreamingDataWidthConverter_area_attrs,46,23,1,0,4,18
exhaustive_FMPadding_area_attrs,46,20,1,0,3,22
exhaustive_Thresholding_area_attrs,46,21,2,0,1,22
exhaustive_StreamingFIFO_area_attrs,46,25,0,0,6,17
exhaustive_MVAU_area_attrs,46,14,1,0,3,34
exhaustive_ConvolutionInputGenerator_area_attrs,46,18,1,0,3,25
