pruning_rate,accuracy,f1_score,recall,params,size_mb,filename
0.0,0.9811634349030471,0.9811588097322056,0.9811634349030471,138698,0.53173828125,original_model.pth
0.25,0.9601108033240997,0.9600393573744995,0.9601108033240997,78368,0.30100250244140625,model_pruned_25.pth
0.5,0.9385041551246538,0.9387668032230299,0.9385041551246538,35142,0.1355133056640625,model_pruned_50.pth
0.75,0.8526315789473684,0.8534322997777194,0.8526315789473684,9020,0.03527069091796875,model_pruned_75.pth
0.85,0.7850415512465374,0.7853384941180445,0.7850415512465374,2793,0.011264801025390625,model_pruned_85.pth
0.9,0.7556786703601108,0.7569174108315799,0.7556786703601108,1425,0.005931854248046875,model_pruned_90.pth
