Repository,Instance,PE,SIMD,ram_style,resType,mem_mode,runtime_writeable_weights,inFIFODepths,outFIFODepths,impl_style,depth,parallel_window,FFs
t1w2_50000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,rtl,146,,45
t1w2_50000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,rtl,2,,67
t1w2_50000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,rtl,2,,586
t1w2_50000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,rtl,2,,19
t1w2_50000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,rtl,2,,75
t1w2_50000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,rtl,2,,7
t1w2_50000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,vivado,1022,,57
t1w2_50000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,rtl,2,,28
t1w4_500fps_u,StreamingDataflowPartition_1,,,,,,,,,,,,10393
t1w4_500fps_u,ConvolutionInputGenerator_hls_0,,1,distributed,,,,4624,9216,,,0,520
t1w4_500fps_u,FMPadding_hls_0,,1,,,,,869,4624,,,,95
t1w4_500fps_u,LabelSelect_hls_0,1,,,,,,2,2,,,,75
t1w4_500fps_u,MVAU_hls_0,1,1,auto,auto,internal_decoupled,0,9216,2,,,,546
t1w4_500fps_u,MVAU_hls_1,1,1,auto,auto,internal_decoupled,0,2,2,,,,303
t1w4_500fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,32,2,,,,8585
t1w4_500fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,32,,,,15
t1w4_500fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,rtl,869,,29
t1w4_500fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,vivado,4624,,69
t1w4_500fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,vivado,9216,,73
t1w4_500fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,rtl,2,,12
t1w4_500fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,rtl,2,,11
t1w4_500fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,rtl,32,,18
t1w4_500fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,rtl,2,,32
t1w4_500fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,rtl,2,,10
t1w4_5000fps_u,StreamingDataflowPartition_1,,,,,,,,,,,,11488
t1w4_5000fps_u,ConvolutionInputGenerator_hls_0,,1,distributed,,,,4624,2,,,0,520
t1w4_5000fps_u,FMPadding_hls_0,,1,,,,,869,4624,,,,95
