Actual_Total LUTs,Actual_FFs,Actual_RAMBs,Actual_DSP Blocks,Pred_Total LUTs,Pred_FFs,Pred_RAMBs,Pred_DSP Blocks
4.9154,3.6842000000000006,2.1429,0.0,4.9154,3.6842000000000006,2.1429,0.0
0.5207,0.3139,0.3571,0.0,1.59512,1.1148600000000002,2.64284,0.0
3.6071,3.0648000000000004,1.4286,0.0,4.1135399999999995,2.1874000000000002,1.2142600000000001,0.0
11.609,15.9126,2.8571,0.9090999999999999,6.460500000000001,8.151679999999999,1.5714000000000004,0.5454399999999999
1.8402,0.6833,0.7143,0.0,1.8402,0.6833,0.7143,0.0
7.2951,5.0357,11.428600000000001,0.0,7.2951,5.0357,11.428600000000001,0.0
6.404099999999999,4.7472,2.8571,0.0,4.11354,2.1874000000000002,1.2142600000000001,0.0
1.8026,1.0874,0.3571,0.0,3.18648,1.8860999999999999,1.07142,0.0
3.8853000000000004,2.6316000000000006,5.714300000000001,0.0,3.8853000000000004,2.6316000000000006,5.714300000000001,0.0
1.2575,0.4511,0.3571,0.0,0.9161799999999999,0.44268,0.3570999999999999,0.0
1.2951,0.9953000000000001,0.3571,0.0,1.8514799999999998,1.3562000000000003,0.7142599999999999,0.0
5.0602,4.1184,0.7143,0.0,5.884600000000001,5.73044,1.0714400000000002,0.0
13.4004,7.5893,22.8571,0.0,1.64588,1.0628000000000002,1.4285400000000001,0.0
6.141,1.281,1.0714000000000001,5.4545,5.7161599999999995,1.0101600000000002,0.71426,3.2727199999999996
0.8383,0.7622,2.5,0.0,2.9778000000000002,1.9412,6.14286,0.0
