Actual_Total LUTs,Actual_FFs,Actual_RAMBs,Actual_DSP Blocks,Pred_Total LUTs,Pred_FFs,Pred_RAMBs,Pred_DSP Blocks
3.8853,2.6316000000000006,5.714300000000001,0.0,4.0486469999999946,2.705217999999996,5.775013999999999,0.0
1.8402000000000003,0.6833,0.7143,0.0,1.8414779999999982,0.6895186666666671,0.710727999999999,0.0
0.609,0.4361,3.2141999999999995,0.0,1.1244171666666676,0.414294,3.3713469999999925,0.0
5.5771,0.8111,0.3571,0.4545,5.145780333333334,1.4405835000000002,0.6931328333333324,0.5363210000000004
0.8008,0.7453,6.0714,0.0,1.186899333333333,0.6594175000000002,5.764254000000007,0.0
6.6429,1.6344,0.3571,0.4545,5.876286433333324,1.7738762666666692,0.724246333333332,0.49541400000000047
3.8853,2.6316000000000006,5.714300000000001,0.0,5.525912999999993,3.6081899999999947,8.632153000000006,0.0
0.609,0.4361,3.2141999999999995,0.0,0.618154,0.4357709999999994,3.185628999999991,0.0
5.0489,4.1184,0.7143,0.0,3.3910722500000015,2.615617933333333,0.629692133333333,0.0
0.5207,0.3139,0.3571,0.0,0.9964889999999988,0.7617834285714283,2.105283714285715,0.0
13.4004,7.5893,22.8571,0.0,13.4004,7.5893,22.8571,0.0
0.6579,0.5808,0.0,0.0,0.9747616000000001,0.8705370000000001,0.432147,0.09999999999999999
1.2575,0.4511,0.3571,0.0,1.1464313166666669,0.5151619999999996,0.48448199999999886,0.0
13.4004,7.5893,22.8571,0.0,1.713822261904762,1.1523168095238103,0.5494087857142845,0.0
