Actual_Total LUTs,Pred_Total LUTs
0.6579,2.1318873309242763
7.9192,6.77849227403469
6.141,5.34366382182473
5.4774,5.146587531020385
0.7914,1.8854848950662262
0.7274,1.8395366642244666
1.2575,1.7745873047687644
1.3609,1.8840263160634048
13.4004,7.470773240461752
7.295100000000001,5.7357300520703145
6.1128,5.589071882860913
0.7143,2.8981886086720743
1.2481,2.644455263325511
3.7368,2.5458743343201817
0.8008,2.0390155499037865
1.8402000000000003,2.7802315190444102
7.295100000000001,6.887694953192473
13.4004,12.111532407653113
2.1335,3.112385304045674
6.1767,4.882944848992583
1.8402000000000003,2.7802315190444102
4.9154,5.123575524846065
4.9154,5.123575524846065
6.1767,4.882944848992583
13.4004,10.427369067694464
7.295100000000001,5.3323531678905205
1.8402000000000003,2.7802315190444102
7.295100000000001,6.887694953192473
1.8402000000000003,2.7802315190444102
