Actual_Total LUTs,Actual_FFs,Actual_RAMBs,Actual_DSP Blocks,Pred_Total LUTs,Pred_FFs,Pred_RAMBs,Pred_DSP Blocks
6.1767,2.3863000000000003,13.2142,0.0,6.17640828952437,2.3863000000000048,13.214200000000035,0.0
4.9154,3.6842000000000006,2.1429,0.0,2.6823055000000022,1.2598899999999993,1.1607159999999996,0.0
0.8382999999999999,0.7622,2.5,0.0,2.5419380000000014,1.9730549999999984,5.5878632,0.0
6.7425,1.641,0.3571,0.4545,6.7808407023809485,2.3866735166666695,4.185672000000006,0.8454350000000002
11.6203,15.9126,2.8571,0.9091,10.67394198809524,14.658593999999994,2.610680000000002,0.940917999999999
0.5771,0.328,0.3571,0.0,0.6155391333333333,0.3348050000000002,0.3570999999999994,0.0
13.4004,7.5893,22.8571,0.0,9.788609999999997,6.061691999999995,17.141939,0.0
1.2425,0.4474,0.3571,0.0,1.2667151500000007,0.5875187333333329,0.7776984999999988,0.0
0.5714,0.4323,0.3571,0.4545,2.770363999999998,0.7957139813492051,0.6590578869047606,0.47268400000000044
0.9756,0.9126,1.4286,0.0,7.4114637499999985,3.9687869999999945,14.651226200000005,0.0
7.295100000000001,5.0357,11.428600000000001,0.0,7.295099999999998,5.035699999999996,11.428599999999998,0.0
1.4774,0.7575,0.3571,0.0,4.016620366666664,2.9329540666666687,5.967431250000004,0.0
5.4774,0.8402,0.3571,1.8182,5.629874166666669,0.9869119999999993,0.5743709333333321,2.4863719999999976
13.4004,7.5893,22.8571,0.0,13.305248999999998,7.5397229999999995,22.635671999999996,0.0
2.1335,1.8008,6.428599999999999,0.0,2.2527650000000032,1.8654979999999999,6.478600000000008,0.0
