Actual_Total LUTs,Actual_FFs,Actual_RAMBs,Actual_DSP Blocks,Pred_Total LUTs,Pred_FFs,Pred_RAMBs,Pred_DSP Blocks
3.8853,2.6316000000000006,5.714300000000001,0.0,4.803236419425971,3.822919646410576,7.468516899838286,0.9109661953905762
1.8402000000000003,0.6833,0.7143,0.0,2.201700476838894,2.22162434363505,2.9595387364408974,0.8302516141984396
0.609,0.4361,3.2141999999999995,0.0,2.1253857486574943,1.976200651833468,5.506696719303502,0.8645236975848233
5.5771,0.8111,0.3571,0.4545,4.752722805248485,2.1856389129372045,2.338385690287079,1.98851754222685
0.8008,0.7453,6.0714,0.0,2.290525722464344,1.959797005391527,6.12057434469141,0.8667708686579962
6.6429,1.6344,0.3571,0.4545,5.457018523357161,2.589009049093068,2.4349519539792066,1.3096977479859375
3.8853,2.6316000000000006,5.714300000000001,0.0,5.173959777773783,4.204945543871469,7.9899497477233075,0.9018105032828795
0.609,0.4361,3.2141999999999995,0.0,1.8981667691309065,1.9707344548590642,5.461975785293177,0.8716737193396504
5.0489,4.1184,0.7143,0.0,3.7680197946051757,2.548597577589578,2.6511614643435517,0.8468737896284297
0.5207,0.3139,0.3571,0.0,1.812878888981373,1.8871431960106024,2.6487030140657315,0.7995483881627504
13.4004,7.5893,22.8571,0.0,12.113773357440746,6.022019671868626,20.574829190476652,0.9479533415292813
0.6579,0.5808,0.0,0.0,1.5256725616211837,1.9206524681653645,2.390117520092905,0.6926356314397238
1.2575,0.4511,0.3571,0.0,1.2969979729134953,1.7377849065770914,2.333507537216703,0.5291655372183115
13.4004,7.5893,22.8571,0.0,2.180497341282991,2.035082098692021,2.351150936972513,0.4343704332570972
