Actual_Total LUTs,Pred_Total LUTs
0.6579,0.7864800000000001
7.9192,5.312799999999999
6.141,5.93496
5.4774,5.872559999999999
0.7914,0.8424999999999999
0.7274,0.8424999999999999
1.2575,0.8424999999999999
1.3609,1.18686
13.4004,2.24924
7.295100000000001,2.3127600000000004
6.1128,6.56806
0.7143,4.9154
1.2481,1.87446
3.7368,2.3834600000000004
0.8008,0.8008
1.8402000000000003,1.6398200000000003
7.295100000000001,6.6131400000000005
13.4004,13.400399999999996
2.1335,2.1335
6.1767,6.1763200000000005
1.8402000000000003,1.6398200000000003
4.9154,4.9154
4.9154,4.9154
6.1767,6.1763200000000005
13.4004,13.400399999999996
7.295100000000001,3.16582
1.8402000000000003,1.6398200000000003
7.295100000000001,6.6131400000000005
1.8402000000000003,1.6398200000000003
