Actual_Total LUTs,Actual_Logic LUTs,Actual_LUTRAMs,Actual_SRLs,Actual_FFs,Actual_RAMB36,Actual_RAMB18,Actual_DSP Blocks,Pred_Total LUTs,Pred_Logic LUTs,Pred_LUTRAMs,Pred_SRLs,Pred_FFs,Pred_RAMB36,Pred_RAMB18,Pred_DSP Blocks
689,689,0,0,1059,0,1,0,-728.5639675214456,-251.79382322629158,68.8448059923232,69.98464507022797,99.7775099588279,70.0820175193547,69.55124265955835,64.1828351739043
387,387,0,0,562,0,1,0,2097.200598455344,2115.2448215886197,8.850822918210184,0.058884559153990906,1164.739517280803,0.6546084042513914,0.3612516369694563,-3.5751699076402472
307,307,0,0,349,0,1,0,3899.3265159353336,3903.588914010284,8.47232631018674,8.093036219708363,7388.115094364208,18.70935760636625,8.019005325318494,7.084409780002948
507,507,0,0,546,0,1,0,-601.1274975718334,-134.13177919314626,68.93413588127,70.09420233923802,148.62300148648197,70.08155416068581,69.5665806944677,64.61963691114526
350,350,0,0,303,0,1,0,3025.9195184843047,3035.7563904090493,3.1898562634959036,0.006592281325796451,1447.1929774586977,0.8430603156114638,0.5556845428902142,2.153479643122472
4224,4224,0,0,8585,2,0,0,4103.0767656201215,4137.951386076559,8.125111476303026,7.833354788630917,7710.643536297799,18.222606756519802,7.765665327970656,7.002948469853578
2993,2993,0,0,863,0,1,1,-215.41408712528477,230.9986104225584,69.15677323730384,70.3976556435997,309.35089208955566,70.04514257538524,69.54651856687579,65.74666117667206
2912,2912,0,0,728,0,1,1,5606.41242726338,5593.305745449268,-1.9719675216750647,-0.09168223301122072,2264.966374027203,1.63248776977281,1.080723560579951,25.90209802705229
6176,6176,0,0,16931,4,0,2,4749.341203041976,4808.93565147478,6.8733591602867214,6.7890501709825495,8623.071959269908,16.175186019090553,6.726394667220406,6.2676139660982155
377,377,0,0,513,0,1,0,-787.2963948296688,-291.2874466145197,69.0375467622572,70.07772060750223,131.84785235335883,69.57286521701596,69.52303942919517,63.76026143538172
669,669,0,0,480,0,1,0,489.8383186833337,610.2293832939285,-2.518367639701043,-1.517437271615763,590.0585118387935,-1.2136014023500883,-1.309741560821505,-2.378980623363733
306,306,0,0,349,0,1,0,1019.4204437988896,1058.2855559551938,0.21630212380452113,0.18491928759723783,440.1843205032502,0.4882038998627837,0.8172554324395538,0.46891283935724215
662,662,0,0,476,0,1,0,822.3265603378579,856.8776743890103,0.4185358157566166,0.4993653439548753,683.7892878990082,0.44485476145060887,1.1068957850385246,0.48267350605433945
276,276,0,0,233,0,1,0,1183.7506743414053,1166.5150530545552,0.17442666583425004,0.031808604884868585,521.4986938348118,0.005505657521411772,1.0198170688937847,-0.07206527499251097
495,495,0,0,549,0,1,0,-665.7686012192298,-173.92705751714425,69.12687665120394,70.18727787651224,180.6933438810154,69.57240185834705,69.5383774641044,64.19706317262272
724,724,0,0,812,0,1,0,771.2750465109746,871.2537048584562,-2.26610216357271,-1.428857722011677,791.436415367552,-1.4145946880804134,-1.189996287629231,-1.4720450889336358
485,485,0,0,547,0,1,0,1593.5558723317715,1628.1739325419996,0.009646261335743006,-0.029960656328901686,775.445458711783,0.2773481072869636,0.7677883839336925,0.5635998677062226
786,786,0,0,806,0,1,0,1295.6625441806013,1341.2470866864899,0.23153638050349368,0.28858065722469073,991.6850936503442,0.24112194610945012,1.1286120581189467,0.5870492687035874
277,277,0,0,334,0,1,0,1992.81689469993,1971.8829403145774,-0.03688212740762456,-0.0209453603926594,832.5175704599499,-0.0008604623123633637,1.000359367007989,0.6701130166830944
2967,2967,0,0,863,0,1,1,-280.0551907726821,191.2033320985604,69.34951400723799,70.49073118087394,345.83755623641304,69.53599027304618,69.51831533651232,65.32408743814959
3587,3587,0,0,1746,0,1,1,1546.7882452172732,1571.2493549089306,-1.686465543406233,-1.256949852836228,1267.1647729701504,-1.9516337991479695,-0.8975115293023025,1.0702463421816752
3268,3268,0,0,1217,0,1,2,3058.049676892296,3099.0564104453006,0.0467016476976386,-0.01780123847604642,1646.5320730311141,-0.2418020976618037,0.9295356365765206,1.9185351833852968
3534,3534,0,0,1739,0,1,1,2743.495462172694,2771.6138550188616,0.14289379752845646,0.05208665120508427,1844.5324784490842,0.019114152911129917,1.4862401108663712,1.09990624636391
304,304,0,0,460,0,1,1,3400.472944694136,3366.3968814624627,0.015927932975457804,0.0040371323143383875,1359.876745538502,0.0009843001206969182,1.0049982045810357,1.4082167946623105
2615,2615,0,0,3920,3,0,0,4389.893713209431,4514.583589015538,0.8113700784169727,-0.006902126417026394,3878.705844925915,2.6185308302350743,0.020211478214766293,0.9302511342063584
7129,7129,0,0,8075,32,0,0,6670.456035825447,6669.607352852212,-1.6404523031328513,-0.9076104606698014,7865.414884230979,30.94914207821911,-1.0029621161114448,-2.9038300000325283
2067,2067,0,0,2800,8,0,0,2523.505721078428,2466.6404265261785,0.17760332064017695,0.2879965617233953,3307.4171261288616,8.831195261928507,0.29380930557193075,0.4841553779368677
3881,3881,0,0,5358,16,0,0,2819.28663081799,2815.1957844336393,-5.4403939356118105,-4.6237062525986214,5459.781774226126,1.7532428263756212,-4.120973521313725,-4.318274688809727
1135,1135,0,0,1916,8,2,0,1243.2865436450618,1243.440216263917,0.3549830022176036,-0.3389549858195018,2315.5516919599904,7.431834565179178,1.4930589199599065,-0.9402214561598947
3286,3286,0,0,2539,18,1,0,3254.1608914442777,3237.5128012014447,-0.06429981761781453,-0.10084298597603072,2556.0415546612294,17.053035463656546,0.8959250495955772,-0.1720990004724878
