Actual_Total LUTs,Actual_FFs,Actual_RAMBs,Actual_DSP Blocks,Pred_Total LUTs,Pred_FFs,Pred_RAMBs,Pred_DSP Blocks
13.4004,7.5893,22.8571,0.0,13.388633,7.589099,22.85678,0.0011054723
7.938,8.0686,1.4286,0.0,5.7084494,3.4455612,1.7074068,0.0015079923
1.3609000000000002,0.7632,0.3571,0.0,12.988669,7.476989,22.623484,0.0015079923
13.4004,7.5893,22.8571,0.0,13.388633,7.589099,22.85678,0.0011054723
0.5771,0.328,0.3571,0.0,5.0587997,4.11688,0.7249122,0.0015079923
7.939800000000001,8.0686,1.4286,0.0,5.7084494,3.4455612,1.7074068,0.0015079923
6.1767,2.3863000000000003,13.2142,0.0,6.1792297,2.3873565,13.213642,0.0015079923
6.1767,2.3863000000000003,13.2142,0.0,6.1792297,2.3873565,13.213642,0.0015079923
0.5207,0.3139,0.3571,0.0,1.0444179,0.80526227,2.3759308,0.0015079923
0.609,0.4361,3.2141999999999995,0.0,0.58347726,0.5888593,3.2174468,0.0015079923
7.9192,8.0686,1.4286,0.0,5.7084494,3.4455612,1.7074068,0.0015079923
0.7086,0.4821,0.3571,0.0,2.3510706,1.9247165,1.1366259,0.0015079923
3.8853000000000004,2.6316000000000006,5.714300000000001,0.0,3.9316165,2.6414442,5.7272887,0.0015079923
1.8402,0.6833,0.7143,0.0,1.843479,0.6807743,0.7142658,0.0015079923
