Hardware config,Submodule Instance,isRTL,ConvKernelDim (dimensions flattened),Dilation (dimensions flattened),Input Feature Map Channels,Input Feature Map Dim (dimensions flattened),ImgDim (dimensions flattened),K,Labels,MH,MW,NumChannels,Output Feature Map Dim (dimensions flattened),PE,Padding (dimensions flattened),SIMD,Stride (dimensions flattened),accDataType (bits),cycles_estimate,inputDataType (bits),noActivation,numInputVectors (dimensions flattened),isOp_typeConvolutioninputgeneratorrtl,isOp_typeFmpaddingrtl,isOp_typeLabelselecthls,isOp_typeMvauhls,isOp_typeMvaurtl,outputDataType (bits),parallel_window,isRam_styleAuto,isRam_styleDistributed,isRestypeAuto,isRestypeLut,weightDataType (bits),Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
builds_t2w8_run18_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,1,9.0,1.0,4.0,1156.0,,,,,,,256.0,,,4.0,4.0,,2375.0,8.0,,,1,0,0,0,0,8.0,0.0,0,1,0,0,,245,108,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,1,9.0,1.0,16.0,324.0,,,,,,,64.0,,,4.0,4.0,,2460.0,8.0,,,1,0,0,0,0,8.0,0.0,0,1,0,0,,320,114,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,1,9.0,1.0,8.0,100.0,,,,,,,16.0,,,1.0,4.0,,1336.0,8.0,,,1,0,0,0,0,8.0,0.0,0,1,0,0,,192,87,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,1,9.0,1.0,16.0,36.0,,,,,,,4.0,,,1.0,4.0,,816.0,8.0,,,1,0,0,0,0,8.0,0.0,0,1,0,0,,205,87,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,FMPadding_rtl_0,1,,,,,1024.0,,,,,4.0,,,1.0,2.0,,,2312.0,8.0,,,0,1,0,0,0,,,0,0,0,0,,65,97,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,FMPadding_rtl_1,1,,,,,256.0,,,,,16.0,,,1.0,2.0,,,2592.0,8.0,,,0,1,0,0,0,,,0,0,0,0,,50,91,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,FMPadding_rtl_2,1,,,,,64.0,,,,,8.0,,,1.0,1.0,,,800.0,8.0,,,0,1,0,0,0,,,0,0,0,0,,41,66,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,FMPadding_rtl_3,1,,,,,16.0,,,,,16.0,,,1.0,1.0,,,576.0,8.0,,,0,1,0,0,0,,,0,0,0,0,,47,58,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,LabelSelect_hls_0,0,,,,,,1.0,6.0,,,,,1.0,,,,,6.0,18.0,,1.0,0,0,1,0,0,8.0,,0,0,0,0,,90,89,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,MVAU_hls_0,0,,,,,,,,16.0,36.0,,,1.0,,36.0,,18.0,4096.0,8.0,0.0,256.0,0,0,0,1,0,8.0,,0,0,1,0,7.0,3337,2751,4.0,36
