Hardware config,Submodule Instance,isRTL,isHLS,ActVal,ConvKernelDim,Dilation,IFMChannels,IFMDim,ImgDim,K,Labels,MH,MW,NumChannels,OFMDim,PE,Padding,SIMD,Stride,accDataType,backend,binaryXnorMode,cycles_estimate,depthwise,inputDataType,is1D,mem_mode,noActivation,numInputVectors,op_type,outputDataType,parallel_window,ram_style,resType,runtime_writeable_weights,weightDataType,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
builds_t2w2_run26_80_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_0,1,0,,"[3, 3]","[1, 1]",4,"[34, 34]",,,,,,,"[16, 16]",,,4,"[2, 2]",,fpgadataflow,,1158,0,UINT8,0,,,,ConvolutionInputGenerator_rtl,UINT8,1,distributed,,,,141,414,0.0,0
builds_t2w2_run26_80_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_1,1,0,,"[3, 3]","[1, 1]",16,"[18, 18]",,,,,,,"[8, 8]",,,8,"[2, 2]",,fpgadataflow,,1230,0,UINT2,0,,,,ConvolutionInputGenerator_rtl,UINT2,0,distributed,,,,187,90,0.0,0
builds_t2w2_run26_80_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_2,1,0,,"[3, 3]","[1, 1]",8,"[10, 10]",,,,,,,"[4, 4]",,,1,"[2, 2]",,fpgadataflow,,1336,0,UINT2,0,,,,ConvolutionInputGenerator_rtl,UINT2,0,distributed,,,,161,81,0.0,0
builds_t2w2_run26_80_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_3,1,0,,"[3, 3]","[1, 1]",16,"[6, 6]",,,,,,,"[2, 2]",,,1,"[2, 2]",,fpgadataflow,,816,0,UINT2,0,,,,ConvolutionInputGenerator_rtl,UINT2,0,distributed,,,,172,81,0.0,0
builds_t2w8_run26_20_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_0,1,0,,"[3, 3]","[1, 1]",4,"[34, 34]",,,,,,,"[16, 16]",,,4,"[2, 2]",,fpgadataflow,,1158,0,UINT8,0,,,,ConvolutionInputGenerator_rtl,UINT8,1,distributed,,,,141,414,0.0,0
builds_t2w8_run26_20_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_1,1,0,,"[3, 3]","[1, 1]",16,"[18, 18]",,,,,,,"[8, 8]",,,16,"[2, 2]",,fpgadataflow,,615,0,UINT8,0,,,,ConvolutionInputGenerator_rtl,UINT8,0,distributed,,,,301,194,0.0,0
builds_t2w8_run26_20_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_2,1,0,,"[3, 3]","[1, 1]",8,"[10, 10]",,,,,,,"[4, 4]",,,2,"[2, 2]",,fpgadataflow,,668,0,UINT8,0,,,,ConvolutionInputGenerator_rtl,UINT8,0,distributed,,,,190,88,0.0,0
builds_t2w8_run26_20_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_3,1,0,,"[3, 3]","[1, 1]",16,"[6, 6]",,,,,,,"[2, 2]",,,2,"[2, 2]",,fpgadataflow,,408,0,UINT8,0,,,,ConvolutionInputGenerator_rtl,UINT8,0,distributed,,,,193,88,0.0,0
builds_t2w4_run26_80_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_0,1,0,,"[3, 3]","[1, 1]",4,"[34, 34]",,,,,,,"[16, 16]",,,4,"[2, 2]",,fpgadataflow,,1158,0,UINT8,0,,,,ConvolutionInputGenerator_rtl,UINT8,1,distributed,,,,141,414,0.0,0
builds_t2w4_run26_80_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_1,1,0,,"[3, 3]","[1, 1]",16,"[18, 18]",,,,,,,"[8, 8]",,,8,"[2, 2]",,fpgadataflow,,1230,0,UINT4,0,,,,ConvolutionInputGenerator_rtl,UINT4,0,distributed,,,,239,106,0.0,0
builds_t2w4_run26_80_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_2,1,0,,"[3, 3]","[1, 1]",8,"[10, 10]",,,,,,,"[4, 4]",,,1,"[2, 2]",,fpgadataflow,,1336,0,UINT4,0,,,,ConvolutionInputGenerator_rtl,UINT4,0,distributed,,,,170,83,0.0,0
builds_t2w4_run26_80_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_3,1,0,,"[3, 3]","[1, 1]",16,"[6, 6]",,,,,,,"[2, 2]",,,1,"[2, 2]",,fpgadataflow,,816,0,UINT4,0,,,,ConvolutionInputGenerator_rtl,UINT4,0,distributed,,,,176,83,0.0,0
