Actual_Total_LUTs,Pred_Total_LUTs
5281,5002.584
925,925.7867158730159
99,99.28364894272403
69,69.84203965610784
737,754.2564419469421
273,276.95266666666663
2686,2869.636
11,11.59954212152052
5,4.999374230858712
4,4.069493010228115
299,298.312
30,30.022262710571532
12,11.976700789323301
43,44.12620923619117
7,6.8546742641097556
11,11.424311822734337
7,6.8546742641097556
47,46.46254732209583
16,15.616885714285713
7,6.995639539185556
7274,6973.58
923,925.7867158730159
99,99.28364894272403
75,76.08021051741032
1059,777.4263714285715
399,388.271
4213,4325.754
11,11.59954212152052
6,6.250778383985432
5,4.999374230858712
298,261.31408571428574
30,30.022262710571532
12,11.976700789323301
43,44.12620923619117
8,7.883756632740468
19,19.307771212121214
8,7.883756632740468
47,46.46254732209583
18,18.20431825396825
7,6.995639539185556
14034,15508.252
931,930.8284111111112
99,99.28364894272403
99,99.28364894272403
3267,4643.898
2914,3359.266
6182,6324.062
11,11.59954212152052
8,7.908996632740469
7,7.0288795391855565
298,261.31408571428574
30,30.022262710571532
12,11.976700789323301
43,44.12620923619117
12,11.976700789323301
36,37.73369159585936
12,11.976700789323301
47,46.46254732209583
26,26.447870657535113
7,6.995639539185556
6618,6656.864
931,930.8284111111112
795,796.933904761905
708,709.6247221833721
716,717.254674320124
99,99.28364894272403
87,86.7693770621106
72,71.65219468996288
71,71.05639468996289
54,53.131751179049786
689,690.2990482961484
387,385.7006666666667
307,305.6485666666668
661,664.9301666666667
275,272.8381666666666
12,12.031666802395197
5,4.999374230858712
4,4.069493010228115
299,298.312
30,30.022262710571532
6,6.018800802145633
67,65.629963311204
5,4.999374230858712
40,41.29174243078714
47,46.46254732209583
5,4.999374230858712
11,11.033918184793327
7,6.995639539185556
11,11.033918184793327
43,44.12620923619117
48,47.49394224252105
43,43.20728103172078
6,6.018800802145633
43,43.20728103172078
5,4.999374230858712
43,42.742147153381666
7672,7071.336
930,929.280377777778
891,879.624
735,729.8672741758242
755,745.0714694139192
99,99.28364894272403
90,87.53811822752415
74,75.20561465771442
71,70.87749896346715
66,67.70559027318082
959,777.1663714285716
617,661.625
487,492.604
784,783.6752194139196
277,280.9679857142857
12,12.031666802395197
6,6.250778383985432
5,4.999374230858712
299,298.312
30,30.022262710571532
7,6.995639539185556
98,88.01345164192531
8,7.883756632740468
50,47.9163023274963
47,46.46254732209583
8,7.883756632740468
15,14.648685470710022
7,6.995639539185556
11,11.033918184793327
43,44.12620923619117
60,60.19362238960481
43,43.20728103172078
7,6.995639539185556
43,43.20728103172078
8,7.883756632740468
53,50.30832617024588
