Repository,PE,SIMD,ram_style,resType,mem_mode,runtime_writeable_weights,inFIFODepths,outFIFODepths,impl_style,depth,parallel_window,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_500fps_u,,,,,,,2,32,,,,12,12,0,0,86,0,0,0
t1w2_5000fps_u,,,,,,,2,593,,,,11,11,0,0,110,0,0,0
t1w2_50000fps_u,,,,,,,2,146,,,,11,11,0,0,51,0,0,0
t1w4_500fps_u,,,,,,,2,32,,,,5,5,0,0,15,0,0,0
t1w4_5000fps_u,,,,,,,2,593,,,,11,11,0,0,110,0,0,0
t1w4_50000fps_u,,,,,,,2,146,,,,12,12,0,0,51,0,0,0
t1w8_5000fps_u,,,,,,,2,593,,,,11,11,0,0,110,0,0,0
t1w8_50000fps_u,,,,,,,2,146,,,,12,12,0,0,51,0,0,0
