Repository,PE,SIMD,ram_style,resType,mem_mode,runtime_writeable_weights,inFIFODepths,outFIFODepths,impl_style,depth,parallel_window,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_500fps_u,,,auto,,,,0,0,rtl,2,,6,6,0,0,7,0,0,0
t1w2_5000fps_u,,,auto,,,,0,0,rtl,2,,7,7,0,0,8,0,0,0
t1w2_50000fps_u,,,auto,,,,0,0,rtl,2,,39,39,0,0,75,0,0,0
t1w4_500fps_u,,,auto,,,,0,0,rtl,2,,18,18,0,0,32,0,0,0
t1w4_5000fps_u,,,auto,,,,0,0,rtl,2,,8,8,0,0,12,0,0,0
t1w4_50000fps_u,,,auto,,,,0,0,rtl,2,,83,83,0,0,163,0,0,0
t1w8_5000fps_u,,,auto,,,,0,0,rtl,2,,12,12,0,0,20,0,0,0
t1w8_50000fps_u,,,auto,,,,0,0,rtl,2,,165,165,0,0,325,0,0,0
