Repository,PE,SIMD,ram_style,resType,mem_mode,runtime_writeable_weights,inFIFODepths,outFIFODepths,impl_style,depth,parallel_window,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_500fps_u,,1,distributed,,,,4624,9216,,,0,931,751,180,0,520,0,0,0
t1w2_5000fps_u,,1,distributed,,,,4624,2,,,0,925,745,180,0,520,0,0,0
t1w2_50000fps_u,,4,distributed,,,,146,2,,,0,1010,790,220,0,724,0,0,0
t1w4_500fps_u,,1,distributed,,,,4624,9216,,,0,927,747,180,0,520,0,0,0
t1w4_5000fps_u,,1,distributed,,,,4624,2,,,0,923,743,180,0,520,0,0,0
t1w4_50000fps_u,,4,distributed,,,,146,2,,,0,1010,790,220,0,724,0,0,0
t1w8_5000fps_u,,1,distributed,,,,4624,2,,,0,931,751,180,0,520,0,0,0
t1w8_50000fps_u,,4,distributed,,,,146,2,,,0,975,755,220,0,724,0,0,0
