Repository,PE,SIMD,ram_style,resType,mem_mode,runtime_writeable_weights,inFIFODepths,outFIFODepths,impl_style,depth,parallel_window,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_500fps_u,,,auto,,,,0,0,vivado,9216,,11,11,0,0,19,0,0,0
t1w2_5000fps_u,,,auto,,,,0,0,rtl,2,,12,12,0,0,20,0,0,0
t1w2_50000fps_u,,,auto,,,,0,0,rtl,146,,262,102,0,160,45,0,0,0
t1w4_500fps_u,,,auto,,,,0,0,vivado,9216,,30,30,0,0,73,4,0,0
t1w4_5000fps_u,,,auto,,,,0,0,rtl,2,,12,12,0,0,20,0,0,0
t1w4_50000fps_u,,,auto,,,,0,0,rtl,146,,258,98,0,160,45,0,0,0
t1w8_5000fps_u,,,auto,,,,0,0,rtl,2,,12,12,0,0,20,0,0,0
t1w8_50000fps_u,,,auto,,,,0,0,rtl,146,,258,98,0,160,45,0,0,0
