session,run_name,logical_fifo_name,chain_length,dataType_bits,tensor_volume,ram_style,impl_style,produtor_node,produtor_op,produtor_PE,produtor_cycles,p_throughput,p_transfers,consumidor_node,consumidor_op,consumidor_SIMD,consumidor_cycles,c_throughput,c_transfers,parallelism_mismatch,real_depth,cycle_ratio,theoretical_accumulation,theoretical_fifo_depth
SAT6_T2W2_2026-04-02_15-14-59,run1_baseline_folded,StreamingFIFO_rtl_0,3,8,4096,auto,vivado,Input_Node,Input,1,1,1.0,4096.0,FMPadding_rtl_0,FMPadding_rtl,1,4624,0.00021626297577854672,4096.0,0,868,0.00021626297577854672,4095.114186851211,4095.114186851211
SAT6_T2W2_2026-04-02_15-14-59,run1_baseline_folded,StreamingFIFO_rtl_1,3,8,4624,auto,vivado,FMPadding_rtl_0,FMPadding_rtl,1,4624,0.00021626297577854672,4624.0,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,1,9500,0.00010526315789473685,4624.0,0,4624,0.48673684210526313,2373.3288421052634,2373.3288421052634
SAT6_T2W2_2026-04-02_15-14-59,run1_baseline_folded,StreamingFIFO_rtl_2,2,8,9216,auto,vivado,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,1,9500,0.00010526315789473685,9216.0,MVAU_hls_0,MVAU_hls,1,147456,6.781684027777777e-06,9216.0,0,9216,0.0644259982638889,8622.25,8622.25
SAT6_T2W2_2026-04-02_15-14-59,run1_baseline_folded,StreamingFIFO_rtl,1,2,4096,auto,rtl,MVAU_hls_0,MVAU_hls,1,147456,6.781684027777777e-06,4096.0,FMPadding_rtl_1,FMPadding_rtl,1,5184,0.00019290123456790122,4096.0,0,32,28.444444444444443,0.0,0.0
SAT6_T2W2_2026-04-02_15-14-59,run1_baseline_folded,StreamingFIFO_rtl,1,2,5184,auto,rtl,FMPadding_rtl_1,FMPadding_rtl,1,5184,0.00019290123456790122,5184.0,ConvolutionInputGenerator_rtl_1,ConvolutionInputGenerator_rtl,1,9840,0.0001016260162601626,5184.0,0,2,0.526829268292683,2452.917073170732,2452.917073170732
SAT6_T2W2_2026-04-02_15-14-59,run1_baseline_folded,StreamingFIFO_rtl,1,2,9216,auto,rtl,ConvolutionInputGenerator_rtl_1,ConvolutionInputGenerator_rtl,1,9840,0.0001016260162601626,9216.0,MVAU_hls_1,MVAU_hls,1,73728,1.3563368055555555e-05,9216.0,0,138,0.13346354166666666,7986.0,7986.0
SAT6_T2W2_2026-04-02_15-14-59,run1_baseline_folded,StreamingFIFO_rtl,1,2,512,auto,rtl,MVAU_hls_1,MVAU_hls,1,73728,1.3563368055555555e-05,512.0,FMPadding_rtl_2,FMPadding_rtl,1,800,0.00125,512.0,0,2,92.16,0.0,0.0
SAT6_T2W2_2026-04-02_15-14-59,run1_baseline_folded,StreamingFIFO_rtl,1,2,800,auto,rtl,FMPadding_rtl_2,FMPadding_rtl,1,800,0.00125,800.0,ConvolutionInputGenerator_rtl_2,ConvolutionInputGenerator_rtl,1,1336,0.0007485029940119761,800.0,0,2,0.5988023952095808,320.9580838323354,320.9580838323354
SAT6_T2W2_2026-04-02_15-14-59,run1_baseline_folded,StreamingFIFO_rtl,1,2,1152,auto,rtl,ConvolutionInputGenerator_rtl_2,ConvolutionInputGenerator_rtl,1,1336,0.0007485029940119761,1152.0,MVAU_hls_2,MVAU_hls,1,18432,5.425347222222222e-05,1152.0,0,61,0.0724826388888889,1068.5,1068.5
SAT6_T2W2_2026-04-02_15-14-59,run1_baseline_folded,StreamingFIFO_rtl,1,2,256,auto,rtl,MVAU_hls_2,MVAU_hls,1,18432,5.425347222222222e-05,256.0,FMPadding_rtl_3,FMPadding_rtl,1,576,0.001736111111111111,256.0,0,2,32.0,0.0,0.0
