feature,BRAM (36k eq.),DSP Blocks,Total FFs,Total LUT
ActVal,0.0,0.0,0.74497783,0.6388504
PE,0.0,0.0,0.2550221,0.36114967
depth,0.0,0.0,0.0,0.0
inWidth,0.0,0.0,0.0,0.0
numSteps,0.0,0.0,0.0,0.0
