fold,R2_Total_LUT,RMSE_Total_LUT,MAE_Total_LUT,R2_Total_FFs,RMSE_Total_FFs,MAE_Total_FFs,R2_BRAM_36k_eq,RMSE_BRAM_36k_eq,MAE_BRAM_36k_eq,R2_DSP_Blocks,RMSE_DSP_Blocks,MAE_DSP_Blocks
1,0.5571824312210083,173.22964459244554,68.33830261230469,0.10288548469543457,244.80844711988595,73.295166015625,0.2434384822845459,0.20030162128598406,0.06842967867851257,1.0,0.0,0.0
2,0.35273873805999756,158.06041171020655,60.57054138183594,0.12516599893569946,226.40917225512308,67.64928436279297,0.2129359245300293,0.16654904444489688,0.06794163584709167,1.0,0.0,0.0
3,0.41531866788864136,165.95135888453882,60.2797737121582,0.08014440536499023,213.2762934405744,56.65852737426758,0.20534902811050415,0.2027409388925716,0.07410964369773865,1.0,0.0,0.0
4,0.395595908164978,187.27612676539954,67.9615707397461,0.09008175134658813,235.81616913392517,71.67916107177734,0.20548415184020996,0.1739347323856449,0.06466246396303177,1.0,0.0,0.0
5,0.5727498531341553,163.41930467550338,63.03763961791992,0.08937698602676392,262.92073425274015,74.65612030029297,0.2709850072860718,0.21355578426276917,0.0800548791885376,1.0,0.0,0.0
6,0.0737314224243164,182.36345491216161,69.40376281738281,0.10613733530044556,250.1810516281159,72.76849365234375,0.25498026609420776,0.16551117832163761,0.07088346034288406,1.0,0.0,0.0
7,0.585372805595398,153.8971412279156,57.326332092285156,0.08002746105194092,156.1232923745685,54.09343338012695,0.2419024109840393,0.18998072592324824,0.06521739065647125,1.0,0.0,0.0
8,0.28988999128341675,180.52761215393062,71.04553985595703,0.06218254566192627,228.34135288532386,68.85946655273438,0.2729361653327942,0.19094078727614505,0.07395569980144501,1.0,0.0,0.0
9,0.3579827547073364,184.46764621472244,68.97634887695312,0.09760099649429321,271.5762151312224,74.9014663696289,0.2316177487373352,0.18291751624766703,0.07059887051582336,1.0,0.0,0.0
10,0.6145020723342896,180.69657967501766,65.8780517578125,0.10798501968383789,238.8743050094547,65.99235534667969,0.19878822565078735,0.16019295643969367,0.06956028938293457,1.0,0.0,0.0
