fold,R2_Total_LUT,RMSE_Total_LUT,MAE_Total_LUT,R2_Total_FFs,RMSE_Total_FFs,MAE_Total_FFs,R2_BRAM_36k_eq,RMSE_BRAM_36k_eq,MAE_BRAM_36k_eq,R2_DSP_Blocks,RMSE_DSP_Blocks,MAE_DSP_Blocks
1,0.9995157718658447,70.35111439682387,17.36901092529297,0.9993940591812134,128.77949449786252,18.17958641052246,0.9991835951805115,0.24610959108018765,0.04922565817832947,0.9997899532318115,0.4413024814129238,0.12734396755695343
2,0.9869882464408875,362.6678706130445,44.559791564941406,0.889777660369873,2007.6679257287547,163.4210662841797,0.9943501353263855,0.4757322051227792,0.07721535116434097,0.9990860223770142,0.9048632502113783,0.134664386510849
3,0.9995967745780945,51.77135259213101,19.027896881103516,0.9997979402542114,47.94127368621165,13.12102222442627,0.9994323253631592,0.15774682255188263,0.03458884730935097,0.999914288520813,0.2190785750260753,0.09747479110956192
4,0.9996798038482666,32.21163764246356,10.676522254943848,0.9999718070030212,16.954793624679386,7.771353721618652,0.9998868703842163,0.049080632099135844,0.022084299474954605,0.9997022151947021,0.4358754821470551,0.11386369913816452
5,0.9997543692588806,33.59682580395896,11.46589183807373,0.9999720454216003,15.649156619616068,6.516458511352539,0.9998322129249573,0.056295058048926525,0.02252648025751114,0.9999662637710571,0.1691157963702095,0.0775022953748703
6,0.9695454835891724,554.3313257881066,79.24887084960938,0.9999056458473206,40.468769606655485,10.95125675201416,0.9809767603874207,0.5034935910158902,0.08098402619361877,0.999962568283081,0.18628186665333554,0.08901668339967728
7,0.999253511428833,62.351857633839785,15.706755638122559,0.9999858140945435,18.033971306779602,8.646449089050293,0.9933798909187317,0.647535432008124,0.08517172932624817,0.9999414682388306,0.2562677604056485,0.10297415405511856
8,0.999954342842102,23.50886400938418,11.939474105834961,0.999961256980896,26.26596891505956,11.086127281188965,0.9990707039833069,0.056975053590325224,0.023120321333408356,0.9990676641464233,1.0869284300698534,0.17605631053447723
9,0.9992494583129883,63.887556480482765,17.34774398803711,0.9963268041610718,201.8683435435086,27.565526962280273,0.998994767665863,0.12319366086120849,0.02957581914961338,0.9996682405471802,0.5400558662214614,0.14519216120243073
10,0.9992564916610718,75.68194524414326,19.098472595214844,0.9997938275337219,75.19039310206956,15.108652114868164,0.9932138323783875,0.668416347338398,0.0724281594157219,0.9999851584434509,0.14190526817954913,0.0662202313542366
