feature,BRAM (36k eq.),DSP Blocks,Total FFs,Total LUT
IFMChannels,0.0,0.0,0.4172792,0.20018557
IFMDim,0.0,0.0,0.24723329,0.4362058
SIMD,0.0,0.0,0.2854702,0.13669729
depth,0.0,0.0,0.0,0.0
inWidth,0.0,0.0,0.0,0.0
inputDataType (bits),0.0,0.0,0.05001725,0.22691128
