run_id,estimated_fps,pred_LUTs,logic_LUTs,lutrams,srls,pred_FFs,pred_BRAM,pred_DSP,LUT_util_pct,FF_util_pct,BRAM_util_pct,DSP_util_pct,max_util_pct,acc_drop,model,fifo_depths
11,10850.69,5912,4539,0,1373,5090,3.5,30,11.11,4.78,2.5,13.64,13.64,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 291, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 106, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 33, 'StreamingFIFO_8': 143, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 101, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
12,12207.03,6043,4546,0,1497,5070,3.5,32,11.36,4.77,2.5,14.55,14.55,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 291, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 106, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 33, 'StreamingFIFO_8': 97, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 48, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 83, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
13,16276.04,6035,4481,0,1553,5353,3.5,53,11.34,5.03,2.5,24.09,24.09,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 2, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 129, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 33, 'StreamingFIFO_8': 234, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 48, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 83, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
14,19290.12,6039,4498,0,1541,5452,3.5,58,11.35,5.12,2.5,26.36,26.36,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 2, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 129, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 33, 'StreamingFIFO_8': 36, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 48, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 78, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
15,20325.2,5917,4560,0,1357,5483,3.5,58,11.12,5.15,2.5,26.36,26.36,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 2, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 87, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 341, 'StreamingFIFO_8': 36, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 48, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 78, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
16,21052.63,5762,4483,0,1279,5451,3.5,58,10.83,5.12,2.5,26.36,26.36,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 2, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 87, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 32, 'StreamingFIFO_8': 88, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 48, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 78, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
17,21626.3,5696,4425,0,1271,5569,3.5,58,10.71,5.23,2.5,26.36,26.36,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 2, 'StreamingFIFO_3': 137, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 87, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 32, 'StreamingFIFO_8': 88, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 48, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 78, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
18,21701.39,5773,4447,0,1326,5557,3.0,58,10.85,5.22,2.14,26.36,26.36,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 137, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 87, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 32, 'StreamingFIFO_8': 88, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 48, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 78, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
19,24414.06,5426,4108,0,1318,5638,3.5,63,10.2,5.3,2.5,28.64,28.64,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 137, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 87, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 32, 'StreamingFIFO_8': 57, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 48, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 39, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 89, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
20,32552.08,5867,4439,0,1428,6241,4.5,105,11.03,5.87,3.21,47.73,47.73,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 36, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 124, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 32, 'StreamingFIFO_8': 160, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 48, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 39, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 89, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
