run_id,estimated_fps,pred_LUTs,logic_LUTs,lutrams,srls,pred_FFs,pred_BRAM,pred_DSP,LUT_util_pct,FF_util_pct,BRAM_util_pct,DSP_util_pct,max_util_pct,acc_drop,model,fifo_depths
1,986.43,5212,4268,0,943,3937,5.0,5,9.8,3.7,3.57,2.27,9.8,5,SAT6_T2W2_DROP5,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 8637, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 87, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 86, 'StreamingFIFO_8': 276, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 108, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 49, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
2,1972.85,5187,4282,0,905,3984,4.5,6,9.75,3.74,3.21,2.73,9.75,5,SAT6_T2W2_DROP5,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 3646, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 87, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 86, 'StreamingFIFO_8': 276, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 108, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 49, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
3,2959.28,5283,4275,0,1008,4128,4.0,7,9.93,3.88,2.86,3.18,9.93,5,SAT6_T2W2_DROP5,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 3571, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 92, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 86, 'StreamingFIFO_8': 276, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 108, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 49, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
4,3945.71,5039,4183,0,856,4076,3.5,8,9.47,3.83,2.5,3.64,9.47,5,SAT6_T2W2_DROP5,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 2134, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 93, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 86, 'StreamingFIFO_8': 276, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 108, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 49, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
5,5260.94,5140,4236,0,904,4129,3.5,10,9.66,3.88,2.5,4.55,9.66,5,SAT6_T2W2_DROP5,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 1092, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 93, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 86, 'StreamingFIFO_8': 276, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 108, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 49, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
6,5918.56,5065,4173,0,892,4108,3.5,12,9.52,3.86,2.5,5.45,9.52,5,SAT6_T2W2_DROP5,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 1092, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 93, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 86, 'StreamingFIFO_8': 65, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 108, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 49, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
7,8877.84,5080,4221,0,859,4301,3.0,15,9.55,4.04,2.14,6.82,9.55,5,SAT6_T2W2_DROP5,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 138, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 93, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 86, 'StreamingFIFO_8': 65, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 108, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 49, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
8,10526.32,5129,4206,0,923,4439,3.1,18,9.64,4.17,2.21,8.18,9.64,5,SAT6_T2W2_DROP5,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 37, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 101, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 86, 'StreamingFIFO_8': 65, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 108, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 49, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
9,11837.12,5122,4190,0,931,4439,3.1,18,9.63,4.17,2.21,8.18,9.63,5,SAT6_T2W2_DROP5,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 288, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 101, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 86, 'StreamingFIFO_8': 65, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 108, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 49, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
10,14781.97,5111,4196,0,915,4615,4.1,24,9.61,4.34,2.93,10.91,10.91,5,SAT6_T2W2_DROP5,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 213, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 110, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 86, 'StreamingFIFO_8': 65, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 108, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 49, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
