run_id,estimated_fps,pred_LUTs,logic_LUTs,lutrams,srls,pred_FFs,pred_BRAM,pred_DSP,LUT_util_pct,FF_util_pct,BRAM_util_pct,DSP_util_pct,max_util_pct,acc_drop,model,fifo_depths
11,9300.6,5202,4043,0,1160,4607,3.6,22,9.78,4.33,2.57,10.0,10.0,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 219, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 112, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 561, 'StreamingFIFO_8': 58, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 146, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
12,10526.32,5326,4094,0,1232,4810,4.6,28,10.01,4.52,3.29,12.73,12.73,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 36, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 130, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 561, 'StreamingFIFO_8': 58, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 146, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
13,11614.4,5253,4029,0,1224,4782,4.6,28,9.87,4.49,3.29,12.73,12.73,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 211, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 130, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 561, 'StreamingFIFO_8': 58, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 146, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
14,12400.79,5239,4002,0,1237,4753,4.1,28,9.85,4.47,2.93,12.73,12.73,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 211, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 130, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 67, 'StreamingFIFO_8': 272, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 146, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
15,13950.89,5179,3952,0,1227,4731,4.1,28,9.73,4.45,2.93,12.73,12.73,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 211, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 130, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 67, 'StreamingFIFO_8': 112, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 146, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
16,14467.59,5263,3980,0,1283,5048,4.1,47,9.89,4.74,2.93,21.36,21.36,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 2, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 167, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 67, 'StreamingFIFO_8': 112, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 146, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
17,16534.39,5270,3981,0,1289,5048,4.1,50,9.91,4.74,2.93,22.73,22.73,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 2, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 167, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 67, 'StreamingFIFO_8': 212, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 146, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
18,18601.19,5222,3937,0,1285,5050,4.1,51,9.82,4.75,2.93,23.18,23.18,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 2, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 167, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 67, 'StreamingFIFO_8': 212, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 82, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
19,21052.63,5217,3942,0,1275,5050,4.1,54,9.81,4.75,2.93,24.55,24.55,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 183, 'StreamingFIFO_3': 2, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 167, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 67, 'StreamingFIFO_8': 35, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 82, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
20,21626.3,5131,3880,0,1251,5168,4.1,54,9.64,4.86,2.93,24.55,24.55,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 2, 'StreamingFIFO_3': 72, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 167, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 67, 'StreamingFIFO_8': 35, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 82, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
