Actual_Total_LUTs,Pred_Total_LUTs
5281,5253.548273988799
925,927.2299412167868
99,99.29290763078937
69,69.35775891256817
737,737.7672599285039
273,273.1139231496306
2686,2680.043139687091
11,21.1576929955562
5,4.80722703952951
4,3.7833381502538925
299,294.1829934867076
30,29.254964731476026
12,11.821944388965953
43,42.3914395680982
7,7.201109239009323
11,10.772128705649802
7,7.201109239009323
47,48.02377741957498
16,15.777209894347994
7,6.990506217323991
7274,7232.153039177258
923,925.291284005573
99,99.29290763078937
75,75.34669094094419
1059,1062.434380852948
399,399.83804125679796
4213,4185.699495375808
11,21.1576929955562
6,6.491002745458228
5,4.846365896715242
298,293.3364490750632
30,29.254964731476026
12,11.821944388965953
43,42.3914395680982
8,7.93205128641307
19,18.684484679347747
8,7.93205128641307
47,48.02377741957498
18,17.755298887772483
7,6.990506217323991
14034,14024.36255517277
931,932.9937719306195
99,99.29290763078937
99,99.30241905444825
3267,3266.183512911749
2914,2900.1483209183075
6182,6166.944307732723
11,21.1576929955562
8,10.161712852944667
7,7.489414811092373
298,293.3364490750632
30,29.254964731476026
12,11.821944388965953
43,42.3914395680982
12,11.821944388965953
36,35.558099828592866
12,11.821944388965953
47,48.02377741957498
26,25.66765486147043
7,6.990506217323991
6618,6620.946370434656
931,932.9937719306195
795,799.7350662151896
708,711.3943666068154
716,719.6996114447143
99,99.29290763078937
87,87.39241782187476
72,72.35143770895152
71,71.36359743465677
54,54.38542884162812
689,691.4595110024949
387,389.2009757248319
307,307.8757989137526
661,662.1276497257483
275,275.5943139825514
12,18.07158404318289
5,4.80722703952951
4,3.7833381502538925
299,294.1829934867076
30,29.254964731476026
6,6.165039184701737
67,65.04346643120036
5,4.864585002808593
40,40.00389427494399
47,48.02377741957498
5,4.864585002808593
11,10.849471113327734
7,6.990506217323991
11,10.802058058218293
43,42.75073875725298
48,47.76210541749017
43,44.35768500503124
6,6.165039184701737
43,44.35768500503124
5,4.864585002808593
43,43.005448941950505
7672,7676.303792524921
930,932.0355841140815
891,892.2092438269196
735,739.8749534176214
755,760.5672260765211
99,99.29290763078937
90,90.30332565287975
74,74.34707309714202
71,71.34945590189643
66,66.36329289838017
959,961.7602455423767
617,619.3186662344897
487,487.79468922237606
784,784.0507793654382
277,278.5893914251072
12,18.07158404318289
6,6.491002745458228
5,4.846365896715242
299,294.1829934867076
30,29.25496473147602
7,6.884554782429943
98,94.25857391381041
8,7.93205128641307
50,48.9771345007589
47,48.02377741957498
8,7.93205128641307
15,14.788165397635755
7,6.990506217323991
11,10.802058058218293
43,42.75073875725298
60,58.50844256063007
43,44.35768500503124
7,6.884554782429943
43,44.35768500503124
8,7.93205128641307
53,52.0268869281045
19045,19055.451919468258
935,936.8265231967713
1091,1082.8640847269553
843,849.3874310643829
837,843.4947728392311
99,99.29290763078937
98,98.29095719823559
83,83.29060237950134
80,80.27482415800706
87,87.32455499769624
3253,3253.033928708089
3496,3512.021602838744
3252,3244.360838000015
3586,3593.5330671090524
303,304.3118809033409
12,18.07158404318289
8,10.161712852944667
7,7.489414811092373
299,294.1829934867076
30,29.254964731476026
11,10.802058058218293
158,152.7334090043131
12,11.821944388965953
70,67.6864287735361
47,48.02377741957498
12,11.821944388965953
22,21.711476874621454
7,6.990506217323991
11,10.802058058218293
43,42.75073875725298
90,86.74297011976053
43,44.35768500503124
11,10.802058058218293
43,43.11003794640774
12,11.821944388965953
74,71.54183356938309
27718,27687.766728693852
224,221.63988234369182
250,246.26099610459818
225,222.6778299097753
266,260.99411418452434
225,222.9326888398951
258,253.24632509452425
2615,2621.2902333520783
7129,7117.923465517046
2067,2071.5120501206866
3881,3885.032147455998
1135,1131.0193421367726
3286,3283.680775777333
324,324.26292201471216
426,422.12990620224923
979,979.085429205597
498,522.1769802992892
20,45.414714514610424
7,9.189127590628019
7,7.201109239009323
7,6.75609201366385
8,7.805628489634686
19,23.783599282267392
40,39.490877954036
10,16.70124025901807
13,18.599484011404368
14,28.305142507870276
78,77.45712092132896
11,17.009753864022656
10,10.491183907417355
911,917.4297334064522
27,26.596840653045692
28,28.546447139278953
7,6.884554782429943
167,163.12184208560944
12,11.821944388965953
11,10.772128705649802
159,156.088872624719
20,19.733387881196972
131,129.89429957713836
281,274.52177018939807
4,3.9209818346061445
44,42.862672572738795
4,3.9209818346061445
242,235.23539129608258
5,4.864585002808593
4,3.9209818346061445
5,5.119178615064776
43,44.35768500503124
3,2.8745929284911322
11,10.802058058218293
4,3.9209818346061445
20,19.76331723376546
8,7.93205128641307
4,3.9209818346061445
20,19.733387881196972
173,166.42307990255173
35,34.52580400194549
76,75.23751955456063
36,35.558099828592866
67,66.30230493536716
147,143.96977676643024
364,363.0464554268111
638,634.8925670290397
