NodeName,OpType,AttributeName,AttributeValue
StreamingDataflowPartition_1_MVAU_hls_0,MVAU_hls,outputDataType,b'UINT2'
StreamingDataflowPartition_1_MVAU_hls_0,MVAU_hls,weightDataType,b'INT2'
StreamingDataflowPartition_1_MVAU_hls_0,MVAU_hls,accDataType,b'INT13'
StreamingDataflowPartition_1_MVAU_hls_0,MVAU_hls,resType,b'auto'
StreamingDataflowPartition_1_MVAU_hls_0,MVAU_hls,inFIFODepths,[593]
StreamingDataflowPartition_1_MVAU_hls_0,MVAU_hls,outFIFODepths,[2]
StreamingDataflowPartition_1_StreamingFIFO_rtl_4,StreamingFIFO_rtl,dataType,b'UINT2'
StreamingDataflowPartition_1_StreamingFIFO_rtl_4,StreamingFIFO_rtl,depth,2
StreamingDataflowPartition_1_StreamingFIFO_rtl_4,StreamingFIFO_rtl,folded_shape,"[1, 16, 16, 20, 1]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_4,StreamingFIFO_rtl,impl_style,b'rtl'
StreamingDataflowPartition_1_StreamingFIFO_rtl_4,StreamingFIFO_rtl,normal_shape,"[1, 16, 16, 20]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_4,StreamingFIFO_rtl,ram_style,b'auto'
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,dataType,b'UINT2'
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,inWidth,2
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,outWidth,8
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,shape,"[1, 16, 16, 20]"
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,inFIFODepths,[2]
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,outFIFODepths,[2]
StreamingDataflowPartition_1_StreamingFIFO_rtl_5,StreamingFIFO_rtl,dataType,b'UINT2'
StreamingDataflowPartition_1_StreamingFIFO_rtl_5,StreamingFIFO_rtl,depth,2
StreamingDataflowPartition_1_StreamingFIFO_rtl_5,StreamingFIFO_rtl,folded_shape,"[1, 16, 16, 5, 4]"
