Actual_Total LUTs,Actual_FFs,Actual_RAMBs,Actual_DSP Blocks,Pred_Total LUTs,Pred_FFs,Pred_RAMBs,Pred_DSP Blocks
1.9906,1.2077,0.3571,0.0,3.0325578500000008,1.1978416666666654,0.7419316999999992,0.0
0.5169,0.219,0.3571,0.0,0.5857520166666668,0.2541535,0.5020366190476184,0.0
0.6579,0.2848,0.3571,0.0,1.2858592999999994,0.820407371428572,3.2855681666666703,0.0
5.6259,0.8111,0.3571,0.4545,5.588876000000002,1.047589933333333,0.5222864999999991,5.472689000000005
0.953,0.5132,0.3571,0.0,2.876418200000002,1.8827817666666673,1.2714203999999991,0.0
2.1335,1.8008,6.428599999999999,0.0,2.3058659999999973,1.828008,6.478600000000008,0.0
1.2425,0.4474,0.3571,0.0,1.2120265833333328,0.4718980000000001,0.5154359999999993,0.0
2.7932,1.9981000000000002,1.4286,0.0,3.865043361111113,2.731219999999999,2.462303999999999,0.0
0.609,0.4361,3.2141999999999995,0.0,0.6089999999999997,0.43609999999999943,3.2141999999999915,0.0
4.9154,3.6842000000000006,2.1429,0.0,4.93028699999999,3.6948300000000085,2.1429000000000027,0.0
1.8402,0.6833,0.7143,0.0,1.9011870000000017,0.6928110000000004,0.7678709999999991,0.0
2.1335,1.8008,6.428599999999999,0.0,3.1856909999999967,2.5296980000000007,6.528600000000007,0.0
3.8853000000000004,2.6316000000000006,5.714300000000001,0.0,2.013557000000002,1.3913250000000001,5.539297000000001,0.0
7.2951,5.0357,11.428600000000001,0.0,7.322054999999988,5.028886999999996,11.485741999999997,0.0
