Actual_Total_LUTs,Pred_Total_LUTs
5281,4378.721590187588
925,927.6870156325157
99,98.75489454384311
69,68.06538379768293
737,833.3018333333332
273,282.3831471040068
2686,2677.4206600529105
11,10.917945954581237
5,4.8015219163948055
4,3.9271751983535577
299,299.1872590187591
30,29.457921275714543
12,11.844798429545058
43,43.19451948228728
7,7.001269650797482
11,10.917945954581237
7,7.001269650797482
47,46.22786688762974
16,15.056243603160398
7,7.001269650797482
7274,7094.373759259257
923,927.6870156325157
99,98.75489454384311
75,75.90388169614484
1059,940.833498196248
399,382.6253790931291
4213,4291.470246031745
11,10.917945954581237
6,6.8680114836025234
5,4.8015219163948055
298,292.50526911976925
30,29.457921275714543
12,11.844798429545058
43,43.19451948228728
8,7.852210032050217
19,19.20025135642836
8,7.852210032050217
47,46.22786688762974
18,18.85478456725748
7,7.001269650797482
14034,15161.772965007216
931,927.8870711880713
99,98.75489454384311
99,98.75489454384311
3267,3247.797961538462
2914,2962.865574074074
6182,6793.8207775372775
11,10.917945954581237
8,7.852210032050217
7,7.001269650797482
298,292.50526911976925
30,29.457921275714543
12,11.844798429545058
43,43.19451948228728
12,11.844798429545058
36,36.18688203702064
12,11.844798429545058
47,46.22786688762974
26,27.322998784599246
7,7.001269650797482
6618,6612.585415103411
931,927.8870711880713
795,807.5532306397306
708,708.6577325452325
716,716.8222933917934
99,98.75489454384311
87,89.10307638529792
72,71.13819514097234
71,70.87054717694808
54,59.43784809436394
689,688.493119047619
387,379.7716208513708
307,304.40530013617916
661,665.9727241462241
275,277.87957795255124
12,11.854613244359873
5,4.8015219163948055
4,3.9271751983535577
299,299.1872590187591
30,29.457921275714543
6,6.84467815026919
67,65.71498626255314
5,4.8015219163948055
40,41.3630267409483
47,46.22786688762974
5,4.8015219163948055
11,10.917945954581237
7,7.001269650797482
11,10.917945954581237
43,43.19451948228728
48,47.19161321846764
43,43.19229726006506
6,6.84467815026919
43,43.19229726006506
5,4.8015219163948055
43,41.725670732635265
7672,7191.955986531985
930,927.839848965849
891,913.550880711881
735,742.3454603174604
755,751.227787037037
99,98.75489454384311
90,89.36547307145777
74,74.82443738905528
71,70.89415648430739
66,67.65080787032471
959,856.5574316516813
617,651.5945701058201
487,485.70664631664624
784,868.5677062207749
277,277.19161090872063
12,11.854613244359873
6,6.8680114836025234
5,4.8015219163948055
299,299.1872590187591
30,29.457921275714543
7,7.001269650797482
98,86.44036243386245
8,7.852210032050217
50,46.8467568629003
47,46.22786688762974
8,7.852210032050217
15,14.735283582344728
7,7.001269650797482
11,10.917945954581237
43,43.19451948228728
60,62.6454586348128
43,43.19229726006506
7,7.001269650797482
43,43.19229726006506
8,7.852210032050217
53,50.28087807622397
19045,15564.43832215008
935,933.5255275372775
1091,1046.6763333333333
843,816.7722306397307
837,816.7722306397307
99,98.75489454384311
98,98.62489454384311
83,82.16567838146217
80,77.91413421191592
87,88.50445733767889
3253,3277.3751930199437
3496,3477.5790740740763
3252,3246.1704059829067
3586,3534.118292688794
303,304.75250780813684
12,11.854613244359873
8,7.852210032050217
7,7.001269650797482
299,299.1872590187591
30,29.457921275714543
11,10.917945954581237
158,163.1505978835979
12,11.844798429545058
70,68.48990891515896
47,46.22786688762974
12,11.844798429545058
22,22.18227427344559
7,7.001269650797482
11,10.917945954581237
43,43.19451948228728
90,85.48647354497356
43,43.19229726006506
11,10.917945954581237
43,43.276408371176174
12,11.844798429545058
74,70.20774074074079
27718,27970.100712962958
224,225.01972668067512
250,252.90674956024407
225,224.99972668067514
266,264.8994869443923
225,225.04306001400846
258,258.01353570983093
2615,2629.48800925926
7129,7128.457690716688
2067,2050.097686507936
3881,3886.057822298073
1135,1131.65466951567
3286,3288.044567358567
324,323.25514394052294
426,425.9373452380953
979,981.8636064945214
498,497.86013979539
20,19.91411194103815
7,7.001269650797482
7,7.001269650797482
7,7.001269650797482
8,7.852210032050217
19,19.210251356428362
40,40.78996935622414
10,10.397287281343823
13,13.13512924654099
14,13.856518456474724
78,76.98252979219913
11,10.917945954581237
10,10.39404403810058
911,912.868222222222
27,27.74016859684331
28,28.314152378888146
7,7.001269650797482
167,166.59270343077424
12,11.844798429545058
11,10.917945954581237
159,159.55809194966275
20,19.91411194103815
131,131.4417385787809
281,277.09352541890814
4,3.9271751983535577
44,43.197852815620614
4,3.9271751983535577
242,242.36502836052838
5,4.8015219163948055
4,3.9271751983535577
5,4.8015219163948055
43,43.19229726006506
3,3.8768362153027103
11,10.917945954581237
4,3.9271751983535577
20,19.91411194103815
8,7.852210032050217
4,3.9271751983535577
20,19.91411194103815
173,172.1199806589927
35,36.166112806251405
76,76.21030788022334
36,36.18688203702064
67,67.7145578703247
147,145.89153439153438
364,363.96483466533465
638,638.478183862434
