Repo,Instance,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,43,43,0,0,57,3,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,7,7,0,0,8,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,11,11,0,0,20,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,7,7,0,0,8,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,47,47,0,0,53,0,1,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,16,16,0,0,28,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,7,7,0,0,10,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1,8726,8085,255,386,12367,5,1,0
t1w2_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,1010,790,220,0,724,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_FMPadding_hls_0,112,112,0,0,124,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_LabelSelect_hls_0,69,69,0,0,69,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,3407,3407,0,0,5051,4,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,350,315,35,0,618,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,2692,2692,0,0,4382,1,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,11,11,0,0,51,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,24,24,0,0,326,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,12,10,0,2,49,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,4,4,0,0,9,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,310,86,0,224,35,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,19,19,0,0,35,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_10,7,7,0,0,10,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,262,102,0,160,45,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,35,35,0,0,67,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,298,298,0,0,586,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,11,11,0,0,19,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,39,39,0,0,75,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,4,4,0,0,7,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,43,43,0,0,57,0,1,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,16,16,0,0,28,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1,6614,6202,180,232,10393,8,2,0
t1w4_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,927,747,180,0,520,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_FMPadding_hls_0,99,99,0,0,95,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_LabelSelect_hls_0,75,75,0,0,75,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_MVAU_hls_0,507,507,0,0,546,0,1,0
t1w4_500fps_u,StreamingDataflowPartition_1_MVAU_hls_1,350,350,0,0,303,0,1,0
t1w4_500fps_u,StreamingDataflowPartition_1_MVAU_hls_2,4224,4224,0,0,8585,2,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,5,5,0,0,15,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,298,74,0,224,29,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,30,30,0,0,69,2,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,30,30,0,0,73,4,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,8,8,0,0,12,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,7,7,0,0,11,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,38,30,0,8,18,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,18,18,0,0,32,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,7,7,0,0,10,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1,7274,6870,180,224,11488,7,3,0
t1w4_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,923,743,180,0,520,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_FMPadding_hls_0,99,99,0,0,95,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_LabelSelect_hls_0,75,75,0,0,75,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,1059,1059,0,0,1285,0,1,0
t1w4_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,399,399,0,0,449,0,1,0
t1w4_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,4213,4213,0,0,8585,2,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,11,11,0,0,110,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,6,6,0,0,24,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,5,5,0,0,15,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,298,74,0,224,29,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,30,30,0,0,69,2,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,12,12,0,0,20,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,43,43,0,0,57,3,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,8,8,0,0,12,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,19,19,0,0,36,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,8,8,0,0,12,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,47,47,0,0,53,0,1,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,18,18,0,0,32,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,7,7,0,0,10,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1,12348,11686,278,384,17676,6,1,0
t1w4_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,1010,790,220,0,724,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_FMPadding_hls_0,112,112,0,0,124,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_LabelSelect_hls_0,75,75,0,0,75,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,4657,4657,0,0,4382,4,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,740,682,58,0,1058,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,4223,4223,0,0,8585,2,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_hls_0,557,557,0,0,1765,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,12,12,0,0,51,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,14,14,0,0,104,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,5,5,0,0,15,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,310,86,0,224,35,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,20,20,0,0,36,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_10,7,7,0,0,10,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,258,98,0,160,45,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,36,36,0,0,68,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,149,149,0,0,293,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,23,23,0,0,43,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,83,83,0,0,163,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,7,7,0,0,11,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,43,43,0,0,57,0,1,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,18,18,0,0,32,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1,13684,13264,180,240,19557,10,2,4
