Actual_Total_LUTs,Pred_Total_LUTs
8726,8633.784506264376
1010,973.1124096683404
112,112.11387613677783
69,69.41839704549665
3407,3395.3330374544253
350,333.86865267434973
2692,2661.5530521047417
11,14.480388813413187
24,72.12387490010131
12,14.782213386737087
4,3.956510278157858
310,301.5641649811243
19,18.63954247732573
7,7.087757054022766
262,248.7382012380134
35,34.40109869029223
298,293.4584775968575
11,10.7903364205421
39,38.341487743533854
4,3.9447336474536066
43,44.07393434254663
16,15.702954379301005
12348,12238.816656533052
1010,973.1124096683404
112,112.11387613677783
75,75.43426054451415
4657,4664.112930497982
740,713.6923987504429
4223,4166.889750676988
557,595.6429588291576
12,14.965022816943305
14,25.61417519844864
5,5.193401031271655
310,301.5641649811243
20,19.624378479124182
7,7.087757054022766
258,245.47527084304306
36,35.38288147587812
149,146.69555775222952
23,22.57993153056736
83,81.68576732919176
7,6.967799908091602
43,44.07393434254663
18,17.663666429212594
39293,39572.32527462356
975,934.9359838052227
112,112.11387613677783
99,99.49771454058411
27281,27234.0421623168
3078,3089.539373123996
6172,6245.513096199114
489,549.0308467336562
12,14.965022816943305
43,65.12532002011883
7,8.196551160975242
310,301.5641649811243
19,18.63954247732573
7,7.087757054022766
258,245.47527084304306
36,35.38288147587812
77,75.76524031615577
83,81.68576732919176
165,162.45711396519602
11,10.7903364205421
44,45.07260708489121
26,25.53190884277405
9279,9200.408531803747
973,932.8643031101337
815,799.5615055886603
718,722.3342276759741
722,726.634257289268
112,112.11387613677783
89,89.47127537555494
72,72.55892762328027
71,71.55642312650862
54,54.3787382979529
1919,1893.8154458532315
819,808.1422757984891
305,305.80290303519644
421,422.1661933070879
275,276.62019951088797
320,329.07549580074163
12,14.965022816943305
23,71.76684986487174
5,5.193401031271655
7,8.196551160975242
4,3.956510278157858
4,3.956510278157858
310,301.5641649811243
20,19.624378479124182
166,163.99333640466503
26,26.511949269044667
47,46.622850330718336
43,44.07393434254663
43,44.07393434254663
26,26.511949269044667
38,37.931201740925566
7,7.189319773994397
64,61.90940940814462
5,4.978263289635168
257,244.66114417943504
11,10.833817828114631
7,7.087757054022766
36,35.38288147587812
299,294.4369459047188
8,8.023928109605503
39,39.08381432389164
12,11.787701868828721
74,71.65829554990438
20,19.624378479124182
13327,13207.476972324803
976,936.0246236128136
976,934.9698882001984
759,757.8794887626648
752,750.7798892829088
112,112.11387613677785
105,105.12505228147977
74,74.48690675173776
71,71.48124499856068
66,66.41046529598789
3800,3806.518807332168
1486,1486.2298912439026
485,485.67011893869403
678,680.4072131717782
277,278.5401295318449
558,596.1571409047132
483,545.6680502938203
12,14.965022816943305
11,14.480388813413187
10,9.804442721762792
5,5.193401031271655
5,5.193401031271655
310,301.5641649811243
20,19.624378479124182
8,7.914401158396724
32,32.33233403439076
62,59.96627962644122
43,44.07393434254663
43,44.07393434254663
30,30.380763794315545
47,45.822114214268794
7,6.967799908091602
93,88.49138142681352
8,8.023928109605503
258,245.47527084304306
15,14.722598354345216
7,7.087757054022766
37,36.36134978373949
149,146.69555775222952
55,54.4414035926522
20,19.624378479124182
123,119.01447868146732
36,35.382881475878115
242,234.5574140762789
