Actual_Total LUTs,Actual_Logic LUTs,Actual_LUTRAMs,Actual_SRLs,Actual_FFs,Actual_RAMB36,Actual_RAMB18,Actual_DSP Blocks,Pred_Total LUTs,Pred_Logic LUTs,Pred_LUTRAMs,Pred_SRLs,Pred_FFs,Pred_RAMB36,Pred_RAMB18,Pred_DSP Blocks
689,689,0,0,1059,0,1,0,-470.09598,-519.2927,-4.483981,-2.8637602,-106.72387,17.762094,57.192406,-38.988224
387,387,0,0,562,0,1,0,2027.2738,1985.082,5.5689926,-0.28478846,1902.0388,0.3753073,0.17581798,3.9754338
307,307,0,0,349,0,1,0,4760.7905,4641.091,-9.545108,4.224199,7107.9844,18.85206,-5.449647,0.4176588
507,507,0,0,546,0,1,0,-462.1901,-508.58594,-4.168002,-2.853659,-97.66253,17.731089,57.0841,-38.62604
350,350,0,0,303,0,1,0,2124.9495,2060.3896,6.057339,-0.40039286,1966.5779,0.5921866,0.21330597,5.956361
4224,4224,0,0,8585,2,0,0,4836.729,4698.3613,-9.082034,4.2424865,7161.676,18.366861,-5.429368,0.74521923
2993,2993,0,0,863,0,1,1,-437.99332,-475.90665,-3.2450895,-3.0287688,-71.415886,17.619349,57.149254,-37.886173
2912,2912,0,0,728,0,1,1,2395.8157,2273.5693,7.2984915,-0.782759,2145.0137,1.0705106,-0.013950808,10.911902
6176,6176,0,0,16931,4,0,2,5066.009,4873.0415,-6.9740324,3.091028,7322.6504,17.06441,-5.234704,1.207881
377,377,0,0,513,0,1,0,-463.32474,-524.8684,-5.476779,-9.549765,-106.413414,19.372095,59.273643,-39.554935
669,669,0,0,480,0,1,0,258.02966,237.37404,1.9649782,-2.8349745,196.03676,-1.4420669,3.977538,5.535907
306,306,0,0,349,0,1,0,291.4021,251.36383,0.85484415,-0.26323828,222.20213,0.2443746,1.0157524,-0.26950932
662,662,0,0,476,0,1,0,370.16006,360.04205,1.4675407,0.13243072,367.45905,1.2999852,0.9481573,0.75207996
276,276,0,0,233,0,1,0,284.66208,232.55966,0.9811869,-0.47957918,233.36655,-0.3042126,0.6061922,0.53824973
495,495,0,0,549,0,1,0,-455.4191,-514.16113,-5.1608,-9.539419,-97.35198,19.34115,59.165367,-39.19257
724,724,0,0,812,0,1,0,309.6667,280.0564,2.6519747,-2.8217604,223.04413,-1.2857788,3.919608,5.8948317
485,485,0,0,547,0,1,0,363.1032,309.98917,1.6381903,-0.28266415,279.0772,0.4991928,1.0305295,0.12659359
786,786,0,0,806,0,1,0,431.82306,405.837,2.0691338,-0.0309728,413.80145,1.538749,0.8572626,1.0707693
277,277,0,0,334,0,1,0,413.19467,341.03506,0.5591863,-0.31212875,325.01483,-0.22042266,1.0814914,1.2727115
2967,2967,0,0,863,0,1,1,-431.2227,-481.48242,-4.2378263,-9.7144985,-71.10546,19.229334,59.229973,-38.452824
3587,3587,0,0,1746,0,1,1,460.81332,404.43948,4.2848787,-3.0612051,305.97687,-0.8928345,4.115958,6.6252394
3268,3268,0,0,1217,0,1,2,551.67944,466.60434,3.6265821,-0.86150485,432.79965,1.4099526,1.1463852,0.99030304
3534,3534,0,0,1739,0,1,1,622.2911,545.5266,3.5962858,-0.6456159,547.89307,2.169885,0.5623226,1.5312529
304,304,0,0,460,0,1,1,635.0442,524.70197,-0.06672306,0.67940754,484.84583,-0.5228488,1.1562588,1.968427
2615,2615,0,0,3920,3,0,0,6759.2183,6718.481,16.37404,-2.1898406,6368.263,3.258983,-0.30668733,8.606818
7129,7129,0,0,8075,32,0,0,7688.1704,7486.586,0.9874354,-0.8949111,7800.4375,31.692642,-0.34373805,0.97137356
2067,2067,0,0,2800,8,0,0,2344.8174,2335.1655,-0.444148,-1.5073608,2740.1238,10.393266,-0.30444238,0.23458385
3881,3881,0,0,5358,16,0,0,2451.4102,2543.3503,9.201917,-8.156141,3979.9575,-0.6513813,-8.544644,2.4332151
1135,1135,0,0,1916,8,2,0,1743.909,1918.6495,-1.0283842,2.9202974,2867.9834,3.031072,0.5862379,4.348468
3286,3286,0,0,2539,18,1,0,3307.2515,3305.0076,1.945035,-1.5644745,5863.488,18.163881,-0.5033808,-2.0098314
324,324,0,0,464,4,1,0,350.73795,305.73123,0.32920557,-0.35753855,386.7548,3.8790371,0.9040289,-0.07079029
426,426,0,0,793,8,1,0,485.91034,471.38702,-0.3434171,-0.49447474,599.1107,7.4702005,0.40291217,0.19102001
979,979,0,0,727,1,0,0,1443.6254,1356.9332,1.4420137,-0.4555305,1932.4412,4.0487814,-0.30412003,-0.9613161
2615,2615,0,0,3920,3,0,0,3662.087,4074.7673,-0.68162054,-1.2489685,4510.415,2.9654286,-0.1255884,1.5136061
7129,7129,0,0,8075,32,0,0,7896.0796,7660.253,-1.4061213,-0.5107711,8000.907,32.021988,-0.10356425,0.88836193
2067,2067,0,0,2800,8,0,0,2344.8174,2335.1655,-0.444148,-1.5073608,2740.1238,10.393266,-0.30444238,0.23458385
3881,3881,0,0,5358,16,0,0,3141.7146,3182.913,0.3799258,-0.6489318,4403.338,15.285806,-0.29363343,-1.4595537
1135,1135,0,0,1916,8,2,0,1684.9695,1783.4012,-0.6123838,-0.25903162,2699.0173,5.782487,1.3678427,2.8651152
3286,3286,0,0,2539,18,1,0,3307.2515,3305.0076,1.945035,-1.5644745,5863.488,18.163881,-0.5033808,-2.0098314
324,324,0,0,464,4,1,0,350.73798,305.73117,0.32920557,-0.35754618,386.75476,3.8790524,0.904027,-0.07077885
426,426,0,0,793,8,1,0,485.91037,471.38702,-0.34340948,-0.49444422,599.1108,7.4702005,0.4029036,0.19102383
979,979,0,0,727,1,0,0,1443.6254,1356.9332,1.4420137,-0.4555305,1932.4412,4.0487814,-0.30412003,-0.9613161
2615,2615,0,0,3920,3,0,0,6796.141,6744.5166,15.915814,-1.3051132,6402.676,3.0964673,-0.41326806,9.038373
7129,7129,0,0,8075,32,0,0,3703.0964,3044.0251,-9.580142,-1.960852,3061.4294,-23.131819,-54.6193,19.949915
2067,2067,0,0,2800,8,0,0,2414.4006,2384.4019,-1.7591581,-0.7087596,2808.7427,10.573331,0.45767692,-0.5120516
3881,3881,0,0,5358,16,0,0,2422.7654,2499.8892,11.044454,1.3724648,3973.7593,-8.372426,-8.182275,-0.55302906
1135,1135,0,0,1916,8,2,0,1793.7034,1869.5472,-3.9763212,-0.09675058,2775.669,7.6641893,1.6241827,1.7544355
3286,3286,0,0,2539,18,1,0,3307.2515,3305.0076,1.945035,-1.5644745,5863.488,18.163881,-0.5033808,-2.0098314
324,324,0,0,464,4,1,0,358.9234,323.46085,-0.19275947,-0.3907989,397.9638,2.5230973,0.69000626,-0.13533115
426,426,0,0,793,8,1,0,502.58298,515.7923,-1.7857237,-0.3582519,633.61053,5.3241854,-0.2723913,0.4298048
979,979,0,0,727,1,0,0,1443.6251,1356.9332,1.4420061,-0.45552668,1932.441,4.048787,-0.30412385,-0.9613123
